Unnamed: 0,STL,SEA
First Downs,21,20
Rush-Yds-TDs,24-124-1,30-187-1
Cmp-Att-Yd-TD-INT,24-42-325-3-3,20-35-216-2-0
Sacked-Yards,2-8,1-12
Net Pass Yards,317,204
Total Yards,441,391
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,5-45,5-40
Third Down Conv.,11-17,2-12
Fourth Down Conv.,0-0,1-1
Time of Possession,31:24,31:38
