Quarter,Time,Tm,Detail,STL,SEA
1,9:52,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),0,7
2,14:17,Seahawks,Josh Brown 48 yard field goal,0,10
,11:29,Rams,Marc Bulger 9 yard rush (Jeff Wilkins kick),7,10
,8:54,Seahawks,Jerramy Stevens 24 yard pass from Matt Hasselbeck (Josh Brown kick),7,17
,0:50,Seahawks,Darrell Jackson 56 yard pass from Matt Hasselbeck (Josh Brown kick),7,24
3,0:56,Rams,Jeff Wilkins 39 yard field goal,10,24
4,8:42,Seahawks,Josh Brown 34 yard field goal,10,27
,5:34,Rams,Brandon Manumaleuna 8 yard pass from Marc Bulger (Jeff Wilkins kick),17,27
,3:30,Rams,Kevin Curtis 41 yard pass from Marc Bulger (Jeff Wilkins kick),24,27
,0:08,Rams,Jeff Wilkins 36 yard field goal,27,27
OT,11:58,Rams,Shaun McDonald 52 yard pass from Marc Bulger,33,27
