Unnamed: 0,IND,JAX
First Downs,28,20
Rush-Yds-TDs,19-58-2,35-174-2
Cmp-Att-Yd-TD-INT,33-46-352-2-1,17-22-163-2-0
Sacked-Yards,1-4,0-0
Net Pass Yards,348,163
Total Yards,406,337
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,3-35,7-45
Third Down Conv.,7-10,9-13
Fourth Down Conv.,1-1,0-0
Time of Possession,30:14,29:46
