Quarter,Time,Tm,Detail,PHI,NYG
1.0,12:34,Giants,Tiki Barber 11 yard rush (Jay Feely kick),0,7
,6:18,Eagles,Correll Buckhalter 2 yard rush (David Akers kick),7,7
2.0,1:02,Eagles,Brian Westbrook 1 yard rush (David Akers kick),14,7
,0:03,Giants,Jay Feely 47 yard field goal,14,10
3.0,1:10,Giants,Jay Feely 23 yard field goal,14,13
4.0,14:08,Giants,Jay Feely 24 yard field goal,14,16
,12:36,Eagles,Brian Westbrook 28 yard rush (David Akers kick),21,16
,6:59,Giants,Brandon Jacobs 1 yard rush,21,22
,2:57,Eagles,Reggie Brown 19 yard pass from Jeff Garcia (L.J. Smith pass from Jeff Garcia),29,22
,2:47,Eagles,Trent Cole 19 yard interception return (David Akers kick),36,22
