Unnamed: 0,PHI,NYG
First Downs,21,22
Rush-Yds-TDs,30-161-3,22-88-2
Cmp-Att-Yd-TD-INT,19-28-237-1-1,28-40-282-0-2
Sacked-Yards,2-16,1-12
Net Pass Yards,221,270
Total Yards,382,358
Fumbles-Lost,1-1,2-2
Turnovers,2,4
Penalties-Yards,12-103,5-55
Third Down Conv.,4-10,2-9
Fourth Down Conv.,1-1,2-2
Time of Possession,31:49,28:11
