Quarter,Time,Tm,Detail,MIN,SEA
1.0,11:25,Seahawks,Stephen Hauschka 50 yard field goal,0,3
,4:40,Vikings,Blair Walsh 32 yard field goal,3,3
,0:00,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),3,10
2.0,11:28,Vikings,Jarius Wright 38 yard pass from Christian Ponder (Blair Walsh kick),10,10
,6:26,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),10,17
,0:48,Vikings,Blair Walsh 45 yard field goal,13,17
,0:10,Seahawks,Doug Baldwin 19 yard pass from Russell Wilson (Stephen Hauschka kick),13,24
4.0,13:14,Seahawks,Marshawn Lynch 6 yard pass from Russell Wilson (Stephen Hauschka kick),13,31
,12:30,Seahawks,Walter Thurmond 29 yard interception return (Stephen Hauschka kick),13,38
,10:12,Seahawks,Stephen Hauschka 26 yard field goal,13,41
,2:18,Vikings,Jarius Wright 21 yard pass from Matt Cassel (Blair Walsh kick),20,41
