Unnamed: 0,MIN,SEA
First Downs,19,16
Rush-Yds-TDs,33-132-0,28-93-2
Cmp-Att-Yd-TD-INT,18-35-207-2-3,14-21-236-2-0
Sacked-Yards,2-3,1-6
Net Pass Yards,204,230
Total Yards,336,323
Fumbles-Lost,2-1,1-0
Turnovers,4,0
Penalties-Yards,4-20,7-96
Third Down Conv.,5-14,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,34:09,25:51
