Unnamed: 0,BAL,CLE
First Downs,31,17
Rush-Yds-TDs,40-243-1,19-57-0
Cmp-Att-Yd-TD-INT,20-31-238-3-0,20-33-192-2-1
Sacked-Yards,0-0,1-8
Net Pass Yards,238,184
Total Yards,481,241
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,7-50,7-62
Third Down Conv.,7-11,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,34:19,25:41
