Quarter,Time,Tm,Detail,SDG,DET
1,4:14,Chargers,LaDainian Tomlinson 16 yard pass from Doug Flutie (Steve Christie kick),7,0
2,1:54,Chargers,LaDainian Tomlinson 73 yard pass from Doug Flutie (Steve Christie kick),14,0
4,7:22,Lions,Casey Fitzsimmons 4 yard pass from Joey Harrington (Jason Hanson kick),14,7
