Unnamed: 0,SDG,DET
First Downs,17,14
Rush-Yds-TDs,35-131-0,18-68-0
Cmp-Att-Yd-TD-INT,17-25-244-2-1,26-47-208-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,244,208
Total Yards,375,276
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,11-95,8-71
Third Down Conv.,6-14,6-17
Fourth Down Conv.,0-0,1-2
Time of Possession,32:08,27:52
