Quarter,Time,Tm,Detail,NYJ,BUF
1.0,5:18,Bills,Willis McGahee 12 yard rush (Rian Lindell kick),0,7
2.0,10:21,Jets,Doug Brien 41 yard field goal,3,7
,4:35,Jets,Justin McCareins 6 yard pass from Chad Pennington (Doug Brien kick),10,7
,0:00,Bills,Rian Lindell 20 yard field goal,10,10
3.0,8:08,Bills,Lee Evans 4 yard pass from Drew Bledsoe (Rian Lindell kick),10,17
4.0,10:38,Bills,Rian Lindell 30 yard field goal,10,20
,6:04,Bills,"Safety,",10,22
,4:06,Jets,Santana Moss 51 yard pass from Quincy Carter (Doug Brien kick),17,22
