Unnamed: 0,PHI,PIT
First Downs,20,25
Rush-Yds-TDs,16-94-2,32-136-2
Cmp-Att-Yd-TD-INT,21-36-276-2-2,27-34-239-3-0
Sacked-Yards,5-34,1-8
Net Pass Yards,242,231
Total Yards,336,367
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,9-84,8-86
Third Down Conv.,10-14,11-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:17,34:43
