Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Miles Sanders,PHI,11,80,2,3,73,6.6,7,0.6,0,
Carson Wentz,PHI,4,11,0,1,10,2.5,1,0.3,1,4.0
Boston Scott,PHI,1,3,0,,1,1.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,PIT,15,44,1,3,26,1.7,18,1.2,1,15.0
Benny Snell Jr.,PIT,7,19,0,1,10,1.4,9,1.3,0,
Chase Claypool,PIT,3,6,1,2,4,1.3,2,0.7,0,
Anthony McFarland Jr.,PIT,3,6,0,,3,1.0,3,1.0,0,
Ray-Ray McCloud,PIT,2,63,0,1,40,20.0,23,11.5,0,
Ben Roethlisberger,PIT,2,-2,0,0,-2,-1.0,0,0.0,0,
