Quarter,Time,Tm,Detail,PHI,PIT
1.0,1:04,Steelers,Chase Claypool 2 yard rush (Chris Boswell kick),0,7
,0:07,Eagles,Miles Sanders 74 yard rush (Jake Elliott kick),7,7
2.0,11:49,Steelers,Chase Claypool 32 yard pass from Ben Roethlisberger (Chris Boswell kick),7,14
,6:17,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),14,14
,1:57,Steelers,Chris Boswell 41 yard field goal,14,17
3.0,13:01,Steelers,Chase Claypool 5 yard pass from Ben Roethlisberger (Chris Boswell kick),14,24
,10:32,Steelers,James Conner 1 yard rush (Chris Boswell kick),14,31
,5:58,Eagles,Greg Ward 8 yard pass from Carson Wentz (John Hightower pass from Carson Wentz),22,31
4.0,11:27,Eagles,Travis Fulgham 4 yard pass from Carson Wentz (Jake Elliott kick),29,31
,2:59,Steelers,Chase Claypool 35 yard pass from Ben Roethlisberger (Chris Boswell kick),29,38
