Unnamed: 0,JAX,SDG
First Downs,21,19
Rush-Yds-TDs,25-85-1,20-42-0
Cmp-Att-Yd-TD-INT,29-37-254-1-2,29-39-377-3-0
Sacked-Yards,3-19,2-12
Net Pass Yards,235,365
Total Yards,320,407
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,3-32,7-57
Third Down Conv.,9-14,9-16
Fourth Down Conv.,0-2,0-0
Time of Possession,30:34,29:26
