Quarter,Time,Tm,Detail,JAX,SDG
1.0,3:44,Chargers,Nick Novak 33 yard field goal,0,3
2.0,14:06,Jaguars,Toby Gerhart 1 yard rush (Josh Scobee kick),7,3
,11:24,Chargers,Eddie Royal 47 yard pass from Philip Rivers (Nick Novak kick),7,10
,7:17,Jaguars,Nic Jacobs 2 yard pass from Blake Bortles (Josh Scobee kick),14,10
,0:59,Chargers,Eddie Royal 43 yard pass from Philip Rivers (Nick Novak kick),14,17
3.0,11:09,Chargers,Malcom Floyd 24 yard pass from Philip Rivers (Nick Novak kick),14,24
,6:10,Chargers,Nick Novak 34 yard field goal,14,27
4.0,13:35,Chargers,Nick Novak 23 yard field goal,14,30
,1:09,Chargers,Nick Novak 37 yard field goal,14,33
