Quarter,Time,Tm,Detail,JAX,STL
1.0,10:31,Jaguars,Justin Blackmon 67 yard pass from Blaine Gabbert (Josh Scobee kick),7,0
,3:08,Rams,Matt Giordano 82 yard interception return (Greg Zuerlein kick),7,7
,0:13,Jaguars,Josh Scobee 48 yard field goal,10,7
2.0,12:03,Rams,Greg Zuerlein 32 yard field goal,10,10
,11:34,Rams,Lance Kendricks 16 yard pass from Sam Bradford (Greg Zuerlein kick),10,17
,0:27,Rams,Austin Pettis 4 yard pass from Sam Bradford (Greg Zuerlein kick),10,24
3.0,3:22,Jaguars,Josh Scobee 34 yard field goal,13,24
4.0,14:47,Rams,Greg Zuerlein 37 yard field goal,13,27
,10:22,Jaguars,Cecil Shorts 4 yard pass from Chad Henne (Josh Scobee kick),20,27
,5:45,Rams,Austin Pettis 31 yard pass from Sam Bradford (Greg Zuerlein kick),20,34
