Unnamed: 0,JAX,STL
First Downs,16,22
Rush-Yds-TDs,25-96-0,36-143-0
Cmp-Att-Yd-TD-INT,16-32-270-2-2,19-34-222-3-0
Sacked-Yards,2-3,2-14
Net Pass Yards,267,208
Total Yards,363,351
Fumbles-Lost,3-1,1-0
Turnovers,3,0
Penalties-Yards,4-45,6-53
Third Down Conv.,3-12,8-19
Fourth Down Conv.,0-2,0-0
Time of Possession,24:41,35:19
