Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
1,5:34,2,3,MIN 31,0,0,Le'Veon Bell up the middle for 3 yards (tackle by Harrison Smith),,
1,4:55,1,10,MIN 28,0,0,James Conner right tackle for 9 yards (tackle by Eric Kendricks),,
1,4:16,2,1,MIN 19,0,0,Le'Veon Bell right guard for 2 yards (tackle by Ben Gedeon and Eric Kendricks),,
1,3:37,1,10,MIN 17,0,0,"Le'Veon Bell left tackle for 3 yards (tackle by Ben Gedeon). Penalty on Jesse James: Offensive Holding, 10 yards (no play)",,
1,3:10,1,20,MIN 27,0,6,"Ben Roethlisberger pass complete short right to Martavis Bryant for 27 yards, touchdown",,
1,3:02,,,MIN 2,0,6,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",,
1,3:02,,,MIN 20,0,7,Chris Boswell kicks extra point good,,
1,3:02,,,PIT 35,0,7,"Chris Boswell kicks off 65 yards, touchback.",,
1,3:02,1,10,MIN 25,0,7,Dalvin Cook left guard for -4 yards (tackle by T.J. Watt and Cameron Heyward),,
1,2:34,2,14,MIN 21,0,7,Dalvin Cook right guard for 1 yard (tackle by Sean Davis),,
1,1:56,3,13,MIN 22,0,7,Case Keenum pass incomplete short right intended for Stefon Diggs,,
1,1:51,4,13,MIN 22,0,7,"Ryan Quigley punts 38 yards, fair catch by Eli Rogers at PIT-40",,
1,1:43,1,10,PIT 40,0,7,Le'Veon Bell up the middle for 11 yards (tackle by Harrison Smith and Andrew Sendejo),,
1,1:05,1,10,MIN 49,0,7,"Penalty on Alejandro Villanueva: False Start, 5 yards (no play)",,
1,0:40,1,15,PIT 46,0,7,Ben Roethlisberger sacked by Everson Griffen for -7 yards,,
Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,22,PIT 39,0,7,"Ben Roethlisberger pass incomplete deep middle intended for Martavis Bryant. Penalty on Trae Waynes: Defensive Pass Interference, 49 yards (no play)",,
2,14:54,1,10,MIN 12,0,7,Le'Veon Bell right guard for 6 yards (tackle by Andrew Sendejo and Xavier Rhodes),,
2,14:14,2,4,MIN 6,0,7,Le'Veon Bell right guard for 2 yards (tackle by Tom Johnson),,
2,13:35,3,2,MIN 4,0,13,"Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 4 yards, touchdown",,
2,13:31,,,MIN 15,0,14,Chris Boswell kicks extra point good,,
2,13:31,,,PIT 35,0,14,"Chris Boswell kicks off 65 yards, touchback.",,
2,13:31,1,10,MIN 25,0,14,Case Keenum pass complete short middle to Jarius Wright for 9 yards (tackle by Mike Hilton),,
2,12:56,2,1,MIN 34,0,14,Latavius Murray left tackle for no gain (tackle by Ryan Shazier and T.J. Watt),,
2,12:16,3,1,MIN 34,0,14,Latavius Murray up the middle for 2 yards (tackle by Cameron Heyward and Bud Dupree),,
2,11:35,1,10,MIN 36,0,14,Dalvin Cook up the middle for 1 yard (tackle by Cameron Heyward),,
2,11:01,2,9,MIN 37,0,14,Stefon Diggs right end for 4 yards (tackle by Vince Williams),,
2,10:29,3,5,MIN 41,0,14,Case Keenum pass complete short middle to Kyle Rudolph for 11 yards (tackle by Sean Davis),,
2,9:50,1,10,PIT 48,0,14,Case Keenum pass complete deep left to Adam Thielen for 24 yards (tackle by Joe Haden),,
2,9:09,1,10,PIT 24,0,14,Case Keenum pass incomplete deep left intended for David Morgan,,
2,9:03,2,10,PIT 24,0,14,Case Keenum pass incomplete deep right intended for Stefon Diggs,,
2,8:58,3,10,PIT 24,0,14,Case Keenum pass incomplete short right intended for Jarius Wright,,
2,8:58,4,10,PIT 24,3,14,Kai Forbath 42 yard field goal good,,
2,8:50,,,MIN 35,3,14,"Kai Forbath kicks off 65 yards, touchback.",,
2,8:50,1,10,PIT 25,3,14,Le'Veon Bell right tackle for 2 yards (tackle by Ben Gedeon and Danielle Hunter),,
2,8:12,2,8,PIT 27,3,14,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,,
2,8:05,3,8,PIT 27,3,14,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,,
2,8:00,4,8,PIT 27,3,14,"Jordan Berry punts 41 yards, returned by Marcus Sherels for 12 yards (tackle by Tyler Matakevich)",,
2,7:50,1,10,MIN 44,3,14,Dalvin Cook up the middle for 1 yard (tackle by Vince Williams),,
2,7:13,2,9,MIN 45,3,14,Case Keenum pass incomplete short right intended for Kyle Rudolph (defended by Mike Mitchell),,
2,7:07,3,9,MIN 45,3,14,Case Keenum pass incomplete deep left intended for Adam Thielen (defended by Artie Burns),,
2,7:01,4,9,MIN 45,3,14,Ryan Quigley punts 44 yards out of bounds,,
2,6:54,1,10,PIT 11,3,14,Le'Veon Bell right guard for 2 yards (tackle by Brian Robison and Trae Waynes),,
2,6:16,2,8,PIT 13,3,14,Le'Veon Bell right guard for 9 yards (tackle by Everson Griffen and Eric Kendricks),,
2,5:32,1,10,PIT 22,3,14,Ben Roethlisberger pass incomplete short middle intended for Jesse James,,
2,5:26,2,10,PIT 22,3,14,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Xavier Rhodes),,
2,5:22,3,10,PIT 22,3,14,Ben Roethlisberger pass incomplete short middle intended for Eli Rogers,,
2,5:17,4,10,PIT 22,3,14,"Jordan Berry punts 36 yards, fair catch by Marcus Sherels at MIN-42",,
2,5:10,1,10,MIN 42,3,14,Case Keenum pass complete short middle to Stefon Diggs for 6 yards (tackle by Ryan Shazier),,
2,4:33,2,4,MIN 48,3,14,Dalvin Cook up the middle for -3 yards (tackle by Cameron Heyward and Anthony Chickillo),,
2,3:51,3,7,MIN 45,3,14,Case Keenum sacked by Bud Dupree for -11 yards,,
2,3:08,4,18,MIN 34,3,14,"Ryan Quigley punts 54 yards, fair catch by Eli Rogers at PIT-12",,
2,3:00,1,10,PIT 12,3,14,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 3 yards (tackle by Mackensie Alexander),,
2,2:24,2,7,PIT 15,3,14,Ben Roethlisberger pass complete short middle to Jesse James for 4 yards (tackle by Anthony Barr),,
2,2:00,3,3,PIT 19,3,14,Ben Roethlisberger pass complete short left to Antonio Brown for 8 yards (tackle by Xavier Rhodes),,
2,1:56,1,10,PIT 27,3,14,Ben Roethlisberger pass complete short middle to Jesse James for 12 yards (tackle by Harrison Smith),,
2,1:31,1,10,PIT 39,3,14,Ben Roethlisberger pass complete short left to Jesse James for 3 yards (tackle by Eric Kendricks),,
2,1:07,2,7,PIT 42,3,14,Ben Roethlisberger pass complete short left to Antonio Brown for 12 yards (tackle by Xavier Rhodes),,
2,1:00,1,10,MIN 46,3,14,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Terence Newman),,
2,0:55,2,10,MIN 46,3,14,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,,
2,0:49,3,10,MIN 46,3,14,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant,,
2,0:43,4,10,MIN 46,3,14,"Jordan Berry punts 37 yards, fair catch by Marcus Sherels at MIN-9",,
2,0:35,1,10,MIN 9,3,14,"Penalty on PIT: Defensive 12 On-field, 5 yards (no play)",,
2,0:33,1,5,MIN 14,3,14,Jerick McKinnon left guard for 7 yards (tackle by Ryan Shazier and Mike Hilton),,
Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,3,14,"Chris Boswell kicks off 65 yards, touchback.. Penalty on Roosevelt Nix: Defensive Offside, 5 yards",,
3,15:00,1,10,MIN 30,3,14,Dalvin Cook up the middle for 6 yards (tackle by Mike Hilton),,
3,14:37,2,4,MIN 36,3,14,Case Keenum pass incomplete short left intended for Dalvin Cook,,
3,14:33,3,4,MIN 36,3,14,Case Keenum pass incomplete short right intended for Kyle Rudolph,,
3,14:30,4,4,MIN 36,3,14,Ryan Quigley pass incomplete short right intended for Blake Bell (defended by Tyler Matakevich),,
3,14:25,1,10,MIN 36,3,14,Le'Veon Bell right tackle for -2 yards (tackle by Andrew Sendejo),,
3,13:41,2,12,MIN 38,3,14,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 4 yards (tackle by Danielle Hunter and Anthony Barr),,
3,12:58,3,8,MIN 34,3,14,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 1 yard (tackle by Eric Kendricks),,
3,12:24,4,7,MIN 33,3,14,"Chris Boswell yard field goal no good. Penalty on Tom Johnson: Illegal Formation, 5 yards (no play)",,
3,12:24,4,2,MIN 28,3,17,Chris Boswell 46 yard field goal good,,
3,12:19,,,PIT 35,3,17,"Chris Boswell kicks off 74 yards, returned by Jerick McKinnon for 27 yards (tackle by Mike Hilton)",,
3,12:14,1,10,MIN 18,3,17,"Case Keenum pass incomplete deep left intended for Laquon Treadwell. Penalty on Artie Burns: Defensive Pass Interference, 17 yards (no play)",,
3,12:09,1,10,MIN 35,3,17,Case Keenum pass complete short right to Adam Thielen for 4 yards (tackle by Mike Hilton),,
3,11:38,2,6,MIN 39,3,17,Dalvin Cook up the middle for 10 yards (tackle by Mike Mitchell and Anthony Chickillo),,
3,10:57,1,10,MIN 49,3,17,Latavius Murray up the middle for 4 yards (tackle by Ryan Shazier),,
3,10:24,2,6,PIT 47,3,17,Case Keenum pass complete deep right to Stefon Diggs for 21 yards (tackle by Sean Davis),,
3,10:06,1,10,PIT 26,3,17,Dalvin Cook right tackle for 25 yards (tackle by Sean Davis),,
3,10:00,1,1,PIT 1,9,17,"C.J. Ham up the middle for 1 yard, touchdown",,
3,9:57,,,PIT 15,9,17,Kai Forbath kicks extra point no good,,
3,9:57,,,MIN 35,9,17,"Kai Forbath kicks off 70 yards, returned by JuJu Smith-Schuster for 20 yards (tackle by Eric Wilson)",,
3,9:53,1,10,PIT 15,9,17,Le'Veon Bell left guard for 4 yards (tackle by Everson Griffen),,
3,9:18,2,6,PIT 19,9,17,Ben Roethlisberger pass complete short right to Eli Rogers for 8 yards (tackle by Terence Newman),,
3,8:47,1,10,PIT 27,9,17,Le'Veon Bell left end for 1 yard (tackle by Anthony Barr),,
3,8:10,2,9,PIT 28,9,17,Ben Roethlisberger pass complete short left to Le'Veon Bell for -3 yards (tackle by Anthony Barr),,
3,7:32,3,12,PIT 25,9,17,Ben Roethlisberger pass complete short middle to Martavis Bryant for 13 yards (tackle by Harrison Smith),,
3,7:01,1,10,PIT 38,9,17,Ben Roethlisberger pass complete deep left to Martavis Bryant for 51 yards (tackle by Trae Waynes). Penalty on Tom Johnson: Defensive Offside (Declined),,
3,6:33,1,10,MIN 11,9,17,Le'Veon Bell right tackle for 3 yards (tackle by Andrew Sendejo),,
3,5:50,2,7,MIN 8,9,17,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,,
3,5:46,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,5:46,3,7,MIN 8,9,17,Ben Roethlisberger sacked by Everson Griffen for -3 yards,,
3,5:09,4,10,MIN 11,9,20,Chris Boswell 29 yard field goal good,,
3,5:05,,,PIT 35,9,20,"Chris Boswell kicks off 73 yards, returned by Jerick McKinnon for 25 yards (tackle by Anthony Chickillo)",,
3,4:59,1,10,MIN 17,9,20,Case Keenum pass incomplete deep left intended for Laquon Treadwell,,
3,4:56,2,10,MIN 17,9,20,Dalvin Cook up the middle for 8 yards (tackle by Sean Davis),,
3,4:34,3,2,MIN 25,9,20,Case Keenum pass complete short right to Kyle Rudolph for 6 yards (tackle by Mike Hilton),,
3,3:59,1,10,MIN 31,9,20,"Case Keenum pass complete deep right to Stefon Diggs for 23 yards (tackle by Joe Haden). Penalty on Stefon Diggs: Offensive Pass Interference, 10 yards (no play)",,
3,3:37,1,20,MIN 21,9,20,Case Keenum pass complete short right to Jerick McKinnon for no gain (tackle by Leterrius Walton and Ryan Shazier),,
3,2:53,2,20,MIN 21,9,20,Case Keenum pass incomplete short right,,
3,2:42,3,20,MIN 21,9,20,Case Keenum pass complete deep middle to Kyle Rudolph for 27 yards (tackle by Sean Davis),,
3,2:13,,,,,,Timeout #2 by Pittsburgh Steelers,,
3,2:13,1,10,MIN 48,9,20,Case Keenum pass complete short left to Laquon Treadwell for 6 yards (tackle by Artie Burns and Mike Hilton),,
3,1:48,2,4,PIT 46,9,20,"Dalvin Cook up the middle for 3 yards (tackle by Vince Williams). Penalty on Nick Easton: Offensive Holding, 10 yards (no play)",,
3,1:25,2,14,MIN 44,9,20,Case Keenum pass complete short left to Dalvin Cook for -1 yards (tackle by Artie Burns),,
3,0:57,3,15,MIN 43,9,20,Case Keenum pass complete short middle,,
3,0:15,4,8,MIN 50,9,20,"Ryan Quigley punts 31 yards, fair catch by Eli Rogers at PIT-19",,
3,0:07,1,10,PIT 19,9,20,Le'Veon Bell up the middle for 7 yards (tackle by Anthony Barr),,
Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,PIT 26,9,20,Ben Roethlisberger pass complete short left to Eli Rogers for 8 yards (tackle by Anthony Barr),,
4,14:21,1,10,PIT 34,9,20,Ben Roethlisberger pass complete short right to Jesse James for 8 yards (tackle by Andrew Sendejo),,
4,13:37,2,2,PIT 42,9,20,Le'Veon Bell up the middle for no gain (tackle by Eric Kendricks and Danielle Hunter),,
4,12:55,3,2,PIT 42,9,20,,,
4,12:50,1,10,PIT 47,9,20,Ben Roethlisberger pass complete deep left to Eli Rogers for 16 yards,,
4,12:18,1,10,MIN 37,9,20,Le'Veon Bell left guard for no gain (tackle by Linval Joseph),,
4,11:48,2,10,MIN 37,9,20,"Penalty on JuJu Smith-Schuster: False Start, 5 yards (no play)",,
4,11:28,2,15,MIN 42,9,20,Ben Roethlisberger pass complete short right to Eli Rogers for 11 yards (tackle by Andrew Sendejo and Eric Kendricks),,
4,10:43,3,4,MIN 31,9,20,Ben Roethlisberger pass complete short right to Le'Veon Bell for 2 yards (tackle by Anthony Barr),,
4,10:08,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,10:08,4,2,MIN 29,9,20,"Penalty on Kameron Canaday: False Start, 5 yards (no play)",,
4,10:08,4,7,MIN 34,9,20,Jordan Berry punts 33 yards downed by Brian Allen. Penalty on Anthony Barr: Running Into the Kicker (Declined),,
4,9:59,1,10,MIN 1,9,20,Penalty on Joe Berger: False Start (no play),,
4,9:59,1,10,MIN 1,9,20,Dalvin Cook left guard for 6 yards (tackle by Ryan Shazier and Anthony Chickillo),,
4,9:34,2,4,MIN 7,9,20,Case Keenum pass complete short middle to Laquon Treadwell for 15 yards (tackle by Artie Burns). Penalty on Artie Burns: Defensive Pass Interference (Declined),,
4,9:12,1,10,MIN 22,9,20,Case Keenum sacked by Vince Williams for -10 yards. Penalty on Riley Reiff: Offensive Holding (Declined),,
4,8:55,2,20,MIN 12,9,20,Dalvin Cook up the middle for 6 yards (tackle by Tyson Alualu and Mike Hilton),,
4,8:18,3,14,MIN 18,9,20,Case Keenum pass incomplete deep left intended for Laquon Treadwell,,
4,8:13,4,14,MIN 18,9,20,"Ryan Quigley punts 55 yards, returned by Eli Rogers for no gain (tackle by Kentrell Brothers). Penalty on Anthony Chickillo: Offensive Holding, 10 yards",,
4,8:02,1,10,PIT 17,9,20,Ben Roethlisberger pass complete short left to Antonio Brown for 8 yards (tackle by Trae Waynes),,
4,7:30,2,2,PIT 25,9,20,Le'Veon Bell up the middle for 4 yards (tackle by Tom Johnson and Shamar Stephen),,
4,6:49,1,10,PIT 29,9,20,Ben Roethlisberger pass complete short left to Antonio Brown for 26 yards (tackle by Andrew Sendejo),,
4,6:11,1,10,MIN 45,9,20,Le'Veon Bell left guard for 9 yards (tackle by Linval Joseph),,
4,5:24,2,1,MIN 36,9,20,Le'Veon Bell left guard for 3 yards (tackle by Anthony Barr),,
4,4:44,1,10,MIN 33,9,20,Le'Veon Bell up the middle for 5 yards (tackle by Xavier Rhodes and Andrew Sendejo),,
4,4:21,2,5,MIN 28,9,20,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Trae Waynes),,
4,4:16,1,10,MIN 19,9,20,Le'Veon Bell up the middle for no gain (tackle by Linval Joseph and Danielle Hunter),,
4,3:33,2,10,MIN 19,9,20,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,,
4,3:27,3,10,MIN 19,9,20,Ben Roethlisberger pass incomplete short middle intended for Eli Rogers,,
4,3:18,4,10,MIN 19,9,23,Chris Boswell 37 yard field goal good,,
4,3:18,,,PIT 35,9,23,"Chris Boswell kicks off 65 yards, touchback.",,
4,3:18,1,10,MIN 25,9,23,"Case Keenum pass complete deep right to Stefon Diggs for 16 yards (tackle by Joe Haden). Penalty on Mike Remmers: Offensive Holding, 10 yards (no play)",,
4,3:06,1,20,MIN 15,9,23,Case Keenum pass complete short left to Laquon Treadwell for 12 yards (tackle by Anthony Chickillo),,
4,2:44,2,8,MIN 27,9,23,Case Keenum pass complete short right to Adam Thielen for 8 yards,,
4,2:39,1,10,MIN 35,9,23,Case Keenum pass incomplete short right intended for Jerick McKinnon,,
4,2:36,2,10,MIN 35,9,23,Case Keenum pass incomplete short right,,
4,2:32,3,10,MIN 35,9,23,Case Keenum pass incomplete short middle intended for Laquon Treadwell (defended by Bud Dupree),,
4,2:26,4,10,MIN 35,9,23,"Case Keenum pass complete short middle to Adam Thielen for 10 yards (tackle by William Gay) Penalty on MIN: Illegal Formation, 5 yards (no play)",,
4,2:21,4,15,MIN 30,9,23,Case Keenum pass incomplete deep left intended for Stefon Diggs,,
,,,,,,,"MIN challenged the incomplete pass ruling, and the play was upheld.",,
4,2:13,1,10,MIN 30,9,23,Le'Veon Bell up the middle for 2 yards (tackle by Ben Gedeon),,
4,2:07,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:07,2,8,MIN 28,9,23,Terrell Watson up the middle for 1 yard (tackle by Eric Kendricks and Shamar Stephen),,
4,2:02,,,,,,Timeout #2 by Minnesota Vikings,,
4,2:02,3,7,MIN 27,9,23,Le'Veon Bell up the middle for 2 yards (tackle by Anthony Barr),,
4,1:57,4,5,MIN 25,9,26,Chris Boswell 43 yard field goal good,,
4,1:53,,,PIT 35,9,26,"Chris Boswell kicks off 65 yards, touchback.",,
4,1:53,1,10,MIN 25,9,26,Case Keenum pass complete short middle to Kyle Rudolph for 1 yard (tackle by Mike Hilton),,
4,1:33,2,9,MIN 26,9,26,Case Keenum pass incomplete short right intended for Stefon Diggs (defended by Ryan Shazier),,
4,1:27,3,9,MIN 26,9,26,Case Keenum pass complete short left to Jerick McKinnon for 2 yards (tackle by William Gay),,
4,1:00,4,7,MIN 28,9,26,"Case Keenum pass complete short middle to Adam Thielen for 6 yards (tackle by William Gay). Adam Thielen fumbles (forced by William Gay), recovered by Artie Burns at MIN-39 (tackle by Laquon Treadwell)",,
4,0:50,1,10,MIN 39,9,26,Ben Roethlisberger kneels for -1 yards,,
4,0:37,2,11,MIN 40,9,26,Ben Roethlisberger kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
