Unnamed: 0,MIN,PIT
First Downs,14,22
Rush-Yds-TDs,20-91-1,32-102-0
Cmp-Att-Yd-TD-INT,20-38-167-0-0,23-35-243-2-0
Sacked-Yards,2-21,2-10
Net Pass Yards,146,233
Total Yards,237,335
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,11-131,10-72
Third Down Conv.,5-15,3-13
Fourth Down Conv.,0-3,0-0
Time of Possession,25:38,34:22
