Quarter,Time,Tm,Detail,SDG,JAX
1.0,7:23,Chargers,Danny Woodhead 2 yard rush (Nick Novak kick),7,0
2.0,12:36,Chargers,Eddie Royal 27 yard pass from Philip Rivers (Nick Novak kick),14,0
,4:50,Jaguars,Josh Scobee 30 yard field goal,14,3
3.0,6:48,Chargers,Nick Novak 20 yard field goal,17,3
,3:54,Jaguars,Josh Scobee 23 yard field goal,17,6
4.0,14:08,Chargers,Ryan Mathews 3 yard rush (Nick Novak kick),24,6
