Unnamed: 0,SDG,JAX
First Downs,27,18
Rush-Yds-TDs,40-158-2,17-78-0
Cmp-Att-Yd-TD-INT,22-26-285-1-0,23-36-318-0-1
Sacked-Yards,1-9,6-43
Net Pass Yards,276,275
Total Yards,434,353
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-61,6-45
Third Down Conv.,7-12,3-11
Fourth Down Conv.,0-0,1-3
Time of Possession,37:30,22:30
