Quarter,Time,Tm,Detail,MIA,TAM
1.0,11:17,Dolphins,Jason Sanders 23 yard field goal,3,0
,7:04,Buccaneers,Giovani Bernard 10 yard pass from Tom Brady (Ryan Succop kick),3,7
,3:16,Dolphins,Myles Gaskin 24 yard pass from Jacoby Brissett (Jason Sanders kick),10,7
2.0,14:06,Buccaneers,Ryan Succop 42 yard field goal,10,10
,11:01,Buccaneers,Antonio Brown 62 yard pass from Tom Brady (Ryan Succop kick),10,17
,1:48,Buccaneers,Antonio Brown 4 yard pass from Tom Brady (Ryan Succop kick),10,24
3.0,6:56,Dolphins,Myles Gaskin 1 yard pass from Jacoby Brissett (Jason Sanders kick),17,24
4.0,14:57,Buccaneers,Leonard Fournette 5 yard rush (Ryan Succop kick),17,31
,11:49,Buccaneers,Mike Evans 34 yard pass from Tom Brady (Ryan Succop kick),17,38
,8:57,Buccaneers,Mike Evans 22 yard pass from Tom Brady (Ryan Succop kick),17,45
