Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Myles Gaskin,MIA,5,25,0,2,20,4.0,5,1.0,0,
Salvon Ahmed,MIA,2,5,0,0,1,0.5,4,2.0,1,2.0
Jaylen Waddle,MIA,1,2,0,0,1,1.0,1,1.0,0,
Preston Williams,MIA,1,7,0,0,3,3.0,4,4.0,1,1.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Leonard Fournette,TAM,12,67,1,3,28,2.3,39,3.3,0,
Ronald Jones II,TAM,5,21,0,0,14,2.8,7,1.4,0,
Giovani Bernard,TAM,4,21,0,1,9,2.3,12,3.0,0,
Blaine Gabbert,TAM,3,-1,0,0,-1,-0.3,0,0.0,0,
Tom Brady,TAM,1,13,0,1,11,11.0,2,2.0,0,
