Quarter,Time,Tm,Detail,SFO,STL
1,2:58,49ers,Frank Gore 1 yard rush (David Akers kick),7,0
3,4:27,Rams,"Safety, Colin Kaepernick called for Intentional Grounding in the end zone.",7,2
4,8:43,49ers,David Akers 23 yard field goal,10,2
,3:04,Rams,Jackrabbit Jenkins 2 yard defensive fumble return (Lance Kendricks pass from Sam Bradford),10,10
,1:34,49ers,David Akers 33 yard field goal,13,10
,0:00,Rams,Greg Zuerlein 53 yard field goal,13,13
OT,0:26,Rams,Greg Zuerlein 54 yard field goal,13,16
