Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 73 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Sam Bradford pass incomplete short right intended for Chris Givens (defended by Ahmad Brooks),0.280,-0.270
1,14:58,2,10,STL 20,0,0,"Steven Jackson left end for 4 yards (tackle by Patrick Willis). Penalty on NaVorro Bowman: Unnecessary Roughness, 15 yards",-0.270,1.530
1,14:32,1,10,STL 39,0,0,Steven Jackson right tackle for 3 yards (tackle by Justin Smith),1.530,1.390
1,13:58,2,7,STL 42,0,0,Steven Jackson right guard for 6 yards (tackle by Donte Whitner),1.390,1.490
1,13:17,3,1,STL 48,0,0,Steven Jackson right tackle for no gain (tackle by Patrick Willis),1.490,-0.190
1,12:35,4,1,STL 48,0,0,"Johnny Hekker punts 37 yards, fair catch by Ted Ginn. Penalty on Craig Dahl: Illegal Block Above the Waist, 10 yards",-0.190,-0.610
1,12:28,1,10,SFO 25,0,0,Colin Kaepernick pass incomplete short right intended for Frank Gore,0.610,0.060
1,12:23,2,10,SFO 25,0,0,Frank Gore left guard for 4 yards (tackle by James Laurinaitis),0.060,-0.100
1,11:41,3,6,SFO 29,0,0,Colin Kaepernick for 2 yards (tackle by James Laurinaitis),-0.100,-1.310
1,11:18,4,4,SFO 31,0,0,"Andy Lee punts 61 yards, returned by Austin Pettis for 2 yards (tackle by C.J. Spillman). Penalty on Janoris Jenkins: Offensive Holding, 5 yards",-1.310,0.380
1,11:03,1,10,STL 5,0,0,Sam Bradford pass complete short right to Chris Givens for 6 yards (tackle by Carlos Rogers),-0.380,-0.340
1,10:27,2,4,STL 11,0,0,Steven Jackson left tackle for -1 yards (tackle by Isaac Sopoaga),-0.340,-0.840
1,9:48,3,5,STL 10,0,0,Sam Bradford pass incomplete short right intended for Steven Jackson,-0.840,-2.490
1,9:39,4,5,STL 10,0,0,"Johnny Hekker punts 50 yards, out of bounds",-2.490,-1.600
1,9:31,1,10,SFO 40,0,0,Frank Gore left tackle for 23 yards (tackle by Craig Dahl),1.600,3.120
1,8:46,1,10,STL 37,0,0,Colin Kaepernick sacked by Jo-Lonn Dunbar and William Hayes for -7 yards,3.120,1.630
1,8:08,2,17,STL 44,0,0,Colin Kaepernick pass complete short left to Bruce Miller for 11 yards (tackle by Jo-Lonn Dunbar),1.630,2.410
1,7:26,3,6,STL 33,0,0,Colin Kaepernick for 7 yards (tackle by Jo-Lonn Dunbar),2.410,3.840
1,6:54,1,10,STL 26,0,0,Frank Gore left tackle for 7 yards (tackle by Quintin Mikell),3.840,4.270
1,6:19,2,3,STL 19,0,0,Frank Gore right guard for 2 yards (tackle by Jermelle Cudjo),4.270,3.950
1,5:34,3,1,STL 17,0,0,Brandon Jacobs right guard for 3 yards (tackle by Jermelle Cudjo),3.950,4.650
1,4:53,1,10,STL 14,0,0,Colin Kaepernick pass complete short left to Bruce Miller for 6 yards (tackle by Jo-Lonn Dunbar),4.650,5.090
1,4:18,2,4,STL 8,0,0,Frank Gore right guard for no gain (tackle by Quintin Mikell),5.090,4.280
1,3:40,3,4,STL 8,0,0,Colin Kaepernick pass complete short left to Mario Manningham for 7 yards (tackle by Janoris Jenkins and Craig Dahl),4.280,6.970
1,3:01,1,1,STL 1,6,0,"Frank Gore right guard for 1 yard, touchdown",6.970,7.000
1,3:01,,,STL 2,7,0,David Akers kicks extra point good,0.000,0.000
1,3:01,,,SFO 35,7,0,"David Akers kicks off 74 yards, touchback",0.000,-0.280
1,2:58,1,10,STL 20,7,0,Steven Jackson middle for no gain (tackle by Justin Smith),0.280,-0.270
1,2:21,2,10,STL 20,7,0,Sam Bradford pass complete short left to Chris Givens for 8 yards (tackle by Donte Whitner),-0.270,0.100
1,1:36,3,2,STL 28,7,0,Sam Bradford pass incomplete deep right intended for Chris Givens,0.100,-1.500
1,1:29,4,2,STL 28,7,0,"Johnny Hekker punts 32 yards, out of bounds",-1.500,-1.600
1,1:22,1,10,SFO 40,7,0,Brandon Jacobs left tackle for 2 yards (tackle by Kendall Langford),1.600,1.320
1,0:45,2,8,SFO 42,7,0,Colin Kaepernick pass complete short right to Randy Moss for 16 yards (tackle by Cortland Finnegan),1.320,2.790
Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 42,7,0,"Frank Gore middle for 16 yards (tackle by Cortland Finnegan). Penalty on Joe Staley: Offensive Holding, 10 yards (no play)",2.790,2.130
2,14:26,1,20,SFO 48,7,0,Colin Kaepernick pass complete short middle to Michael Crabtree for 5 yards (tackle by Rocky McIntosh),2.130,1.570
2,13:45,2,15,STL 47,7,0,Colin Kaepernick pass complete short right to Mario Manningham for 5 yards (tackle by Jo-Lonn Dunbar),1.570,1.550
2,13:03,3,10,STL 42,7,0,Colin Kaepernick for 1 yard (tackle by James Laurinaitis),1.550,0.530
2,12:32,4,9,STL 41,7,0,"Andy Lee punts 31 yards, fair catch by Austin Pettis",0.530,0.380
2,12:24,1,10,STL 10,7,0,Daryl Richardson left tackle for 2 yards (tackle by NaVorro Bowman),-0.380,-0.630
2,11:47,2,8,STL 12,7,0,Sam Bradford pass complete short left to Lance Kendricks for 9 yards (tackle by Patrick Willis). Penalty on NaVorro Bowman: Defensive Holding (Declined),-0.630,-0.630
2,11:18,2,8,STL 12,7,0,Timeout #1 by San Francisco 49ers,-0.630,0.340
2,11:18,1,10,STL 21,7,0,Sam Bradford pass complete short left to Daryl Richardson for 1 yard (tackle by Ahmad Brooks),0.340,-0.070
2,10:45,2,9,STL 22,7,0,"Daryl Richardson left end for 1 yard. Penalty on Scott Wells: Offensive Holding, 10 yards (no play)",-0.070,-1.440
2,10:20,2,19,STL 12,7,0,Sam Bradford pass complete short middle to Daryl Richardson for 4 yards (tackle by NaVorro Bowman),-1.440,-1.780
2,9:44,3,15,STL 16,7,0,Sam Bradford pass complete short left to Lance Kendricks for 3 yards (tackle by Carlos Rogers),-1.780,-2.140
2,9:06,4,12,STL 19,7,0,"Johnny Hekker punts 63 yards, returned by Ted Ginn for 6 yards (tackle by Rodney McLeod)",-2.140,-0.540
2,8:55,1,10,SFO 24,7,0,Colin Kaepernick pass complete short left to Vernon Davis for 6 yards (tackle by Rocky McIntosh),0.540,0.810
2,8:11,2,4,SFO 30,7,0,Frank Gore left end for 1 yard (tackle by James Laurinaitis),0.810,0.230
2,7:26,3,3,SFO 31,7,0,Colin Kaepernick pass complete short left to Delanie Walker for 7 yards (tackle by Janoris Jenkins),0.230,1.470
2,6:45,1,10,SFO 38,7,0,Colin Kaepernick pass complete short right to Michael Crabtree for 11 yards (tackle by Jo-Lonn Dunbar and Cortland Finnegan),1.470,2.190
2,6:02,1,10,SFO 49,7,0,Frank Gore left tackle for 2 yards (tackle by James Laurinaitis),2.190,1.920
2,5:25,2,8,STL 49,7,0,Frank Gore right end for -3 yards (tackle by William Hayes),1.920,0.830
2,4:37,3,11,SFO 48,7,0,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,0.830,-0.190
2,4:33,4,11,SFO 48,7,0,"Penalty on C.J. Spillman: False Start, 5 yards (no play)",-0.190,-0.520
2,4:33,4,16,SFO 43,7,0,"Andy Lee punts 53 yards, returned by Austin Pettis for 14 yards (tackle by Michael Wilhoite)",-0.520,-0.040
2,4:21,1,10,STL 18,7,0,Steven Jackson middle for -2 yards (tackle by Justin Smith),0.040,-0.800
