Quarter,Time,Tm,Detail,HOU,SDG
1.0,5:49,Chargers,Antonio Gates 49 yard pass from Philip Rivers (Nate Kaeding kick),0,7
,3:38,Chargers,Antonio Cromartie defensive fumble recovery in end zone (Nate Kaeding kick),0,14
2.0,14:07,Texans,Kris Brown 40 yard field goal,3,14
,12:00,Chargers,Antonio Gates 31 yard pass from Philip Rivers (Nate Kaeding kick),3,21
,9:52,Chargers,Antonio Cromartie 70 yard interception return (Nate Kaeding kick),3,28
,2:31,Chargers,Chris Chambers 14 yard pass from Philip Rivers (Nate Kaeding kick),3,35
4.0,4:40,Texans,Joel Dreessen 28 yard pass from Sage Rosenfels (Kris Brown kick),10,35
