Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 69 yards, returned by Darren Sproles for 23 yards (tackle by Jameel Cook)",0.000,0.540
1,14:54,1,10,SDG 24,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by DeMeco Ryans),0.540,0.400
1,14:22,2,7,SDG 27,0,0,LaDainian Tomlinson left end for 1 yard (tackle by Morlon Greenwood),0.400,-0.160
1,13:51,3,6,SDG 28,0,0,Philip Rivers pass incomplete short left intended for Chris Chambers (defended by Dunta Robinson),-0.160,-1.500
1,13:45,4,6,SDG 28,0,0,"Mike Scifres punts 63 yards, returned by Jacoby Jones for 7 yards (tackle by Kassim Osgood)",-1.500,0.140
1,13:35,1,10,HOU 16,0,0,Matt Schaub pass complete short left to Jacoby Jones for 5 yards (tackle by Drayton Florence),-0.140,0.150
1,13:04,2,5,HOU 21,0,0,Ron Dayne right tackle for no gain (tackle by Stephen Cooper and Shawne Merriman),0.150,-0.700
1,12:23,3,5,HOU 21,0,0,Matt Schaub pass complete short middle to Jacoby Jones for 6 yards (tackle by Eric Weddle),-0.700,0.740
1,11:38,1,10,HOU 27,0,0,Ron Dayne left end for 3 yards (tackle by Igor Olshansky and Shaun Phillips),0.740,0.600
1,11:01,2,7,HOU 30,0,0,Matt Schaub pass complete short left to Andre' Davis for 6 yards (tackle by Drayton Florence),0.600,0.700
1,10:30,3,1,HOU 36,0,0,Ron Dayne right tackle for 2 yards (tackle by Shawne Merriman),0.700,1.470
1,9:55,1,10,HOU 38,0,0,Ron Dayne left end for 2 yards (tackle by Shawne Merriman and Ryon Bingham),1.470,1.190
1,9:18,2,8,HOU 40,0,0,Matt Schaub pass complete short middle to Kevin Walter for 11 yards (tackle by Drayton Florence),1.190,2.320
1,8:44,1,10,SDG 49,0,0,Adimchinobe Echemandu left end for 7 yards (tackle by Clinton Hart and Stephen Cooper),2.320,2.730
1,8:06,2,3,SDG 42,0,0,Matt Schaub pass incomplete short right intended for Kevin Walter,2.730,2.020
1,8:02,3,3,SDG 42,0,0,Matt Schaub pass incomplete (defended by Shaun Phillips),2.020,0.460
1,7:59,4,3,SDG 42,0,0,"Matt Turk punts 42 yards, touchback",0.460,-0.280
1,7:52,1,10,SDG 20,0,0,Philip Rivers pass complete deep right to Chris Chambers for 21 yards (tackle by Demarcus Faggins),0.280,1.660
1,7:25,1,10,SDG 41,0,0,Philip Rivers up the middle for 8 yards (tackle by DeMeco Ryans),1.660,2.200
1,6:41,2,2,SDG 49,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Danny Clark),2.200,2.320
1,5:59,1,10,HOU 49,0,6,"Philip Rivers pass complete deep right to Antonio Gates for 49 yards, touchdown",2.320,7.000
1,,,,HOU 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 59 yards, returned by Andre' Davis for 17 yards (tackle by Marques Harris)",0.000,0.810
1,5:45,1,10,HOU 28,0,7,Ron Dayne up the middle for no gain (tackle by Ryon Bingham and Clinton Hart),0.810,0.260
1,5:10,2,10,HOU 28,0,7,Matt Schaub pass complete short left to Ron Dayne for -2 yards (tackle by Stephen Cooper),0.260,-0.690
1,4:24,,,,0,7,Timeout #1 by Houston Texans,0.000,-0.690
1,4:24,3,12,HOU 26,0,7,Matt Schaub pass complete short right to Owen Daniels for 7 yards (tackle by Eric Weddle),-0.690,-1.180
1,3:45,4,5,HOU 33,0,13,"Matt Turk for no gain. Matt Turk fumbles, recovered by Antonio Cromartie at HOU-0, touchdown",-1.180,-7.000
1,,,,HOU 2,0,14,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,14,"Nate Kaeding kicks off 67 yards, returned by Andre' Davis for 19 yards (tackle by Brandon Siler)",0.000,0.410
1,3:33,1,10,HOU 22,0,14,Matt Schaub pass complete short right to Kevin Walter for 8 yards (tackle by Drayton Florence),0.410,0.950
1,2:55,2,2,HOU 30,0,14,Adimchinobe Echemandu right end for 20 yards (tackle by Drayton Florence and Clinton Hart),0.950,2.260
1,2:20,1,10,,0,14,Adimchinobe Echemandu right tackle for 6 yards (tackle by Ryon Bingham),2.260,2.520
1,1:43,2,4,SDG 44,0,14,Matt Schaub pass complete short left to Vonta Leach for 7 yards (tackle by Matt Wilhelm),2.520,3.120
1,1:01,1,10,SDG 37,0,14,Matt Schaub pass complete short middle to Adimchinobe Echemandu for 7 yards (tackle by Stephen Cooper),3.120,3.520
1,0:18,2,3,SDG 30,0,14,Ron Dayne up the middle for 5 yards (tackle by Clinton Hart),3.520,3.910
Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 25,0,14,Matt Schaub pass incomplete short left intended for Owen Daniels (defended by Drayton Florence),3.910,3.360
2,14:56,2,10,SDG 25,0,14,Adimchinobe Echemandu right tackle for 3 yards (tackle by Shawne Merriman),3.360,3.070
2,14:14,3,7,SDG 22,0,14,Matt Schaub pass incomplete short left intended for Andre' Davis,3.070,1.990
2,14:10,4,7,SDG 22,3,14,Kris Brown 40 yard field goal good,1.990,3.000
2,,,,HOU 30,3,14,"Kris Brown kicks off 65 yards, returned by Darren Sproles for 31 yards (tackle by Jamar Fletcher)",0.000,1.330
2,14:00,1,10,SDG 36,3,14,LaDainian Tomlinson up the middle for 7 yards (tackle by Danny Clark),1.330,1.740
2,13:24,2,3,SDG 43,3,14,LaDainian Tomlinson up the middle for 20 yards (tackle by Von Hutchins and Dunta Robinson),1.740,3.120
2,12:38,1,10,HOU 37,3,14,LaDainian Tomlinson left end for 6 yards (tackle by DeMeco Ryans),3.120,3.380
2,12:08,2,4,HOU 31,3,20,"Philip Rivers pass complete deep left to Antonio Gates for 31 yards, touchdown",3.380,7.000
2,,,,HOU 2,3,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,21,"Nate Kaeding kicks off 71 yards, returned by Andre' Davis for 19 yards (tackle by Kassim Osgood)",0.000,0.040
2,11:32,1,10,HOU 18,3,21,Matt Schaub pass complete short right to Vonta Leach for 9 yards (tackle by Quentin Jammer),0.040,0.820
2,11:29,2,1,HOU 27,3,21,Ron Dayne right end for 3 yards (tackle by Matt Wilhelm and Jacques Cesaire),0.820,0.940
2,10:56,1,10,HOU 30,3,21,"Matt Schaub pass incomplete intended for Kevin Walter. Penalty on Quentin Jammer: Defensive Pass Interference, 26 yards (no play)",0.940,2.650
2,10:39,1,10,SDG 44,3,21,Ron Dayne left end for 5 yards (tackle by Jacques Cesaire),2.650,2.780
2,10:08,2,5,SDG 39,3,27,"Matt Schaub pass incomplete short left intended for Kevin Walter is intercepted by Antonio Cromartie at SDG-30 and returned for 70 yards, touchdown",2.780,-7.000
2,,,,HOU 2,3,28,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,28,"Nate Kaeding kicks off 71 yards, returned by Andre' Davis for 18 yards (tackle by Brandon Siler)",0.000,-0.060
2,9:47,1,10,HOU 17,3,28,Adimchinobe Echemandu up the middle for 2 yards (tackle by Brandon McKinney),-0.060,-0.250
2,9:08,2,8,HOU 19,3,28,Matt Schaub pass complete short middle to Jacoby Jones for 13 yards (tackle by Quentin Jammer),-0.250,1.070
2,8:27,1,10,HOU 32,3,28,Adimchinobe Echemandu left tackle for 3 yards (tackle by Shawne Merriman and Brandon McKinney),1.070,0.930
2,7:47,2,7,HOU 35,3,28,Matt Schaub pass incomplete short right intended for Vonta Leach,0.930,0.230
2,7:42,3,7,HOU 35,3,28,"Matt Schaub pass incomplete deep left intended for Andre' Davis is intercepted by Antonio Cromartie at SDG-43 and returned for 21 yards (tackle by Adimchinobe Echemandu). Penalty on Stephen Cooper: Unnecessary Roughness, 15 yards",0.230,-2.190
2,7:29,1,10,SDG 49,3,28,LaDainian Tomlinson up the middle for 1 yard (tackle by C.C. Brown),2.190,1.780
2,6:48,2,9,,3,28,Philip Rivers pass incomplete short left intended for Vincent Jackson,1.780,1.090
