Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
1,0:01,1,10,DET 22,7,7,Zay Jones right end for 3 yards (tackle by Darius Slay),4.110,3.970
Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,DET 19,7,7,Derek Carr pass incomplete short right,3.970,3.260
2,14:56,3,7,DET 19,7,7,"Penalty on Tyrell Williams: False Start, 5 yards (no play)",3.260,2.610
2,14:56,3,12,DET 24,7,7,"Derek Carr pass incomplete short right intended for Jalen Richard. Penalty on Jarrad Davis: Defensive Pass Interference, 5 yards (no play)",2.610,4.310
2,14:53,1,10,DET 19,7,7,Josh Jacobs right tackle for 2 yards (tackle by Damon Harrison),4.310,4.030
2,14:18,2,8,DET 17,7,7,Derek Carr pass complete short left to Zay Jones for 3 yards (tackle by Rashaan Melvin),4.030,3.760
2,13:42,3,5,DET 14,7,7,"Andre James aborted snap, recovered by Derek Carr at DET-30 Derek Carr pass incomplete short right",3.760,2.560
2,13:34,4,5,DET 14,7,10,Daniel Carlson 32 yard field goal good,2.560,3.000
2,13:31,,,OAK 35,7,10,"Daniel Carlson kicks off 61 yards, returned by Jamal Agnew for 23 yards (tackle by William Compton)",0.000,0.740
2,13:26,1,10,DET 27,7,10,"Ty Johnson right tackle for 3 yards (tackle by P.J. Hall and Karl Joseph). Penalty on Tyrell Crosby: Offensive Holding, 10 yards (no play)",0.740,-0.170
2,13:03,1,20,DET 17,7,10,Matthew Stafford pass complete deep middle to Marvin Jones for 20 yards (tackle by Erik Harris),-0.170,1.400
2,12:24,1,10,DET 37,7,10,Matthew Stafford pass complete short middle to Marvin Jones for 14 yards (tackle by Erik Harris and Trayvon Mullen),1.400,2.320
2,11:47,1,10,OAK 49,7,10,"J.D. McKissic left end for 9 yards (tackle by Lamarcus Joyner). Penalty on Taylor Decker: Offensive Holding, 10 yards (no play)",2.320,1.660
2,11:30,1,20,DET 41,13,10,"Matthew Stafford pass complete deep left to Kenny Golladay for 59 yards, touchdown",1.660,7.000
2,11:21,,,OAK 15,14,10,Matt Prater kicks extra point good,0.000,0.000
2,11:21,,,DET 35,14,10,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
2,11:21,1,10,OAK 25,14,10,DeAndre Washington right tackle for 3 yards (tackle by Jahlani Tavai),0.610,0.470
2,10:58,2,7,OAK 28,14,10,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Justin Coleman),0.470,1.400
2,10:31,1,10,OAK 37,14,10,Derek Carr pass complete short middle to DeAndre Washington for 21 yards (tackle by Tavon Wilson),1.400,2.790
2,9:58,1,10,DET 42,14,10,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Rashaan Melvin and Will Harris),2.790,3.320
2,9:16,2,2,DET 34,14,10,DeAndre Washington left guard for -1 yards (tackle by Trey Flowers),3.320,2.480
2,8:36,3,3,DET 35,14,10,Derek Carr pass incomplete short left intended for Jalen Richard,2.480,0.990
2,8:32,4,3,DET 35,14,10,Derek Carr pass incomplete short right intended for Hunter Renfrow,0.990,-1.270
2,8:28,1,10,DET 35,14,10,Paul Perkins up the middle for 13 yards (tackle by Tahir Whitehead),1.270,2.130
2,7:53,1,10,DET 48,14,10,"Penalty on Johnathan Hankins: Encroachment, 5 yards (no play)",2.130,2.860
2,7:34,1,5,OAK 47,14,10,Matthew Stafford pass complete deep left to Marvin Jones for 17 yards (tackle by Erik Harris),2.860,3.580
2,6:56,1,10,OAK 30,14,10,"Paul Perkins right guard for -2 yards (tackle by Maxx Crosby). Penalty on Maxx Crosby: Tripping, 10 yards (no play)",3.580,4.240
2,6:31,1,10,OAK 20,14,10,Matthew Stafford pass deep left intended for Kenny Golladay is intercepted by Daryl Worley at OAK-0 and returned for no gain,4.240,-0.280
2,6:26,1,10,OAK 20,14,10,"Josh Jacobs up the middle for 2 yards (tackle by Christian Jones and Jahlani Tavai). Penalty on Foster Moreau: Offensive Holding, 10 yards",0.280,-0.600
2,6:08,,,,,,Timeout #1 by Oakland Raiders,,
2,6:08,1,18,OAK 12,14,10,Derek Carr pass complete short left to Tyrell Williams for 12 yards,-0.600,0.270
2,5:41,2,6,OAK 24,14,10,Josh Jacobs left tackle for 3 yards (tackle by Damon Harrison and Jahlani Tavai),0.270,-0.030
2,5:03,3,3,OAK 27,14,10,Derek Carr pass complete short middle to Darren Waller for 21 yards (tackle by Darius Slay and Will Harris),-0.030,2.130
2,4:23,1,10,OAK 48,14,10,"Derek Carr pass complete short left to Hunter Renfrow for 2 yards (tackle by Da'Shawn Hand). Penalty on Tyrell Williams: Illegal Block Above the Waist, 10 yards (no play)",2.130,1.470
2,4:01,1,20,OAK 38,14,10,Josh Jacobs right guard for 8 yards (tackle by Tavon Wilson and Jahlani Tavai),1.470,1.310
2,3:25,2,12,OAK 46,14,10,Derek Carr pass incomplete deep left intended for Zay Jones (defended by Jahlani Tavai),1.310,0.630
2,3:19,3,12,OAK 46,14,10,Derek Carr pass complete short right to Tyrell Williams for 14 yards (tackle by Rashaan Melvin),0.630,2.920
2,2:42,,,,,,Timeout #1 by Detroit Lions,,
2,2:42,1,10,DET 40,14,10,Josh Jacobs left guard for 16 yards (tackle by Christian Jones),2.920,3.970
2,2:00,1,10,DET 24,14,10,Josh Jacobs right guard for 4 yards (tackle by Jarrad Davis and Christian Jones),3.970,3.970
2,1:24,2,6,DET 20,14,10,Derek Carr pass complete short right to Hunter Renfrow for 17 yards (tackle by Justin Coleman),3.970,6.510
2,1:16,,,,,,Timeout #2 by Detroit Lions,,
2,1:16,1,3,DET 3,14,16,"Josh Jacobs left tackle for 3 yards, touchdown",6.510,7.000
2,1:12,,,DET 15,14,17,Daniel Carlson kicks extra point good,0.000,0.000
2,1:12,,,OAK 35,14,17,"Daniel Carlson kicks off 53 yards, returned by Marvin Hall for 12 yards (tackle by Dallin Leavitt and Derek Carrier)",0.000,0.540
2,1:07,1,10,DET 24,14,17,Matthew Stafford pass complete short left to Ty Johnson for 6 yards (tackle by Daryl Worley),0.540,0.810
2,1:02,2,4,DET 30,14,17,Matthew Stafford pass incomplete short right intended for Marvin Jones,0.810,0.100
2,0:59,3,4,DET 30,14,17,Matthew Stafford pass complete short right to T.J. Hockenson for 23 yards (tackle by Trayvon Mullen),0.100,2.460
2,0:52,1,10,OAK 47,14,17,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,2.460,1.910
2,0:48,2,10,OAK 47,14,17,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,1.910,1.220
2,0:45,3,10,OAK 47,14,17,Matthew Stafford sacked by Arden Key for -13 yards,1.220,-0.720
Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,14,17,"Sam Martin kicks off 65 yards, returned by Trevor Davis for 31 yards (tackle by Miles Killebrew and Will Harris)",0.000,1.000
3,14:55,1,10,OAK 31,14,17,Josh Jacobs left tackle for 3 yards (tackle by Jahlani Tavai and Jarrad Davis),1.000,0.870
3,14:22,2,7,OAK 34,14,17,Josh Jacobs up the middle for 2 yards (tackle by Da'Shawn Hand and Damon Harrison),0.870,0.430
3,13:38,3,5,OAK 36,14,17,Derek Carr pass complete short middle to Jalen Richard for 2 yards (tackle by Rashaan Melvin),0.430,-0.850
3,13:00,4,3,OAK 38,14,17,Derek Carrier left end for 27 yards (tackle by Jamal Agnew),-0.850,3.250
3,12:20,1,10,DET 35,14,17,Josh Jacobs left end for 4 yards (tackle by Trey Flowers and Jarrad Davis),3.250,3.240
3,11:38,2,6,DET 31,14,17,Josh Jacobs left guard for 4 yards (tackle by Christian Jones),3.240,3.070
3,10:59,3,2,DET 27,14,17,Derek Carr pass incomplete deep right intended for Tyrell Williams (defended by Rashaan Melvin),3.070,1.800
3,10:55,4,2,DET 27,14,17,Daniel Carlson 45 yard field goal no good,1.800,-1.270
3,10:52,1,10,DET 35,14,17,Ty Johnson right tackle for 2 yards (tackle by Karl Joseph),1.270,0.990
3,10:18,2,8,DET 37,14,17,Ty Johnson up the middle for no gain (tackle by Tahir Whitehead and Maxx Crosby),0.990,0.300
3,9:38,3,8,DET 37,14,17,"Penalty on Frank Ragnow: False Start, 5 yards (no play)",0.300,-0.360
3,9:12,3,13,DET 32,14,17,Matthew Stafford pass complete short right to Marvin Jones for 15 yards (tackle by Tahir Whitehead),-0.360,2.060
3,8:48,1,10,DET 47,14,17,"Ty Johnson up the middle for -2 yards (tackle by Clelin Ferrell and Johnathan Hankins). Penalty on Johnathan Hankins: Defensive Holding, 5 yards (no play)",2.060,2.390
3,8:31,1,10,OAK 48,14,17,J.D. McKissic up the middle for 8 yards (tackle by William Compton),2.390,2.930
3,7:57,2,2,OAK 40,14,17,J.D. McKissic up the middle for 13 yards (tackle by Daryl Worley),2.930,3.780
3,7:22,1,10,OAK 27,14,17,Matthew Stafford pass complete short right to Danny Amendola for 8 yards (tackle by Tahir Whitehead),3.780,4.350
3,6:46,2,2,OAK 19,14,17,J.D. McKissic up the middle for 11 yards (tackle by Karl Joseph),4.350,5.370
3,6:14,1,8,OAK 8,14,17,J.D. McKissic right end for no gain (tackle by Karl Joseph and Erik Harris),5.370,4.570
3,5:36,2,8,OAK 8,14,17,Matthew Stafford pass complete short middle to Jesse James for 3 yards (tackle by William Compton),4.570,4.260
3,4:52,3,5,OAK 5,14,17,Matthew Stafford pass incomplete short right intended for Kenny Golladay,4.260,3.010
3,4:47,4,5,OAK 5,17,17,Matt Prater 23 yard field goal good,3.010,3.000
3,4:45,,,DET 35,17,17,"Sam Martin kicks off 66 yards, returned by Trevor Davis for 21 yards (tackle by Nick Bawden)",0.000,0.280
3,4:40,1,10,OAK 20,17,17,Derek Carr pass complete short right to Zay Jones for 9 yards (tackle by Justin Coleman and Christian Jones),0.280,0.950
3,3:58,2,1,OAK 29,17,17,Josh Jacobs up the middle for 5 yards (tackle by Kevin Strong),0.950,1.200
3,3:14,1,10,OAK 34,17,17,Josh Jacobs right tackle for 1 yard (tackle by Jarrad Davis and Christian Jones),1.200,0.790
3,2:48,2,9,OAK 35,17,17,Derek Carr pass complete short left to Hunter Renfrow for 3 yards (tackle by Jahlani Tavai),0.790,0.500
3,2:07,3,6,OAK 38,17,17,Derek Carr pass complete deep middle to Tyrell Williams for 22 yards (tackle by C.J. Moore),0.500,2.920
3,1:40,1,10,DET 40,17,17,Derek Carr pass complete deep middle to Marcell Ateman for 34 yards (tackle by Will Harris),2.920,5.830
3,0:51,1,6,DET 6,17,17,Josh Jacobs left end for 1 yard (tackle by Jahlani Tavai),5.830,5.150
3,0:14,2,5,DET 5,17,17,Josh Jacobs left guard for 2 yards (tackle by Jahlani Tavai),5.150,4.720
Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,DET 3,17,17,Derek Carr pass incomplete short middle intended for Zay Jones (defended by Will Harris). Penalty on Will Harris: Defensive Pass Interference (Offsetting) . Penalty on Richie Incognito: Unnecessary Roughness (Offsetting) (no play),4.720,4.720
4,14:56,3,3,DET 3,17,23,"Derek Carr pass complete short middle to Foster Moreau for 3 yards, touchdown",4.720,7.000
4,14:52,,,DET 15,17,24,Daniel Carlson kicks extra point good,0.000,0.000
4,14:52,,,OAK 35,17,24,"Daniel Carlson kicks off 63 yards, returned by Jamal Agnew for 18 yards (tackle by Keisean Nixon)",0.000,0.280
4,14:47,1,10,DET 20,17,24,Paul Perkins left guard for 3 yards (tackle by Clelin Ferrell and P.J. Hall),0.280,0.140
4,14:06,2,7,DET 23,17,24,Matthew Stafford pass incomplete short right intended for Jesse James,0.140,-0.560
4,14:03,3,7,DET 23,17,24,Matthew Stafford pass complete deep right to Danny Amendola for 17 yards (tackle by Karl Joseph),-0.560,1.600
4,13:24,1,10,DET 40,17,24,Matthew Stafford pass complete deep right to Kenny Golladay for 21 yards (tackle by Erik Harris). Penalty on Daryl Worley: Defensive Pass Interference (Declined),1.600,2.980
4,13:05,1,10,OAK 39,17,24,Ty Johnson left end for -2 yards (tackle by Johnathan Hankins and Clelin Ferrell),2.980,2.170
4,12:30,2,12,OAK 41,17,24,Ty Johnson left guard for 2 yards (tackle by Clelin Ferrell),2.170,1.750
4,11:47,3,10,OAK 39,17,24,Matthew Stafford pass incomplete short middle intended for Marvin Hall,1.750,0.660
4,11:42,4,10,OAK 39,17,24,"Sam Martin punts 39 yards, touchback.",0.660,-0.280
4,11:34,1,10,OAK 20,17,24,Josh Jacobs up the middle for 3 yards (tackle by Tavon Wilson),0.280,0.140
4,11:05,2,7,OAK 23,17,24,Derek Carr pass incomplete short left intended for Josh Jacobs,0.140,-0.560
4,11:01,3,7,OAK 23,17,24,Derek Carr sacked by Trey Flowers for -10 yards,-0.560,-2.490
4,10:22,4,17,OAK 13,17,24,A.J. Cole punts 52 yards downed by Keisean Nixon,-2.490,-1.270
4,10:11,1,10,DET 35,17,24,Matthew Stafford pass incomplete deep right intended for Danny Amendola,1.270,0.720
4,10:05,2,10,DET 35,17,24,Matthew Stafford right end for 2 yards (tackle by Trayvon Mullen),0.720,0.300
4,9:28,3,8,DET 37,17,24,"Matthew Stafford pass incomplete short right intended for Kenny Golladay (defended by Trayvon Mullen). Penalty on Benson Mayowa: Defensive Offside, 5 yards (no play)",0.300,0.960
4,9:24,3,3,DET 42,17,24,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,0.960,-0.590
4,9:21,4,3,DET 42,17,24,"Sam Martin punts 47 yards, returned by Trevor Davis for 16 yards (tackle by Jalen Reeves-Maybin and Steve Longa)",-0.590,-0.740
4,9:11,1,10,OAK 27,17,24,Josh Jacobs left tackle for 4 yards (tackle by Devon Kennard and Jahlani Tavai),0.740,0.740
4,8:38,2,6,OAK 31,17,24,Josh Jacobs left guard for 3 yards (tackle by A'Shawn Robinson and Christian Jones),0.740,0.430
4,7:56,3,3,OAK 34,17,24,"Andre James aborted snap, recovered by Derek Carr at OAK-29 Derek Carr pass incomplete short right",0.430,-1.110
4,7:46,4,3,OAK 34,17,24,"A.J. Cole punts 44 yards, fair catch by Jamal Agnew at DET-22. Penalty on Keisean Nixon: Fair Catch Interference, 15 yards",-1.110,-1.400
4,7:42,1,10,DET 37,17,24,Matthew Stafford pass complete short right to J.D. McKissic for 7 yards (tackle by Nicholas Morrow),1.400,1.800
4,7:10,2,3,DET 44,17,24,Matthew Stafford pass complete short middle to T.J. Hockenson for 19 yards (tackle by Erik Harris),1.800,3.120
4,6:30,1,10,OAK 37,17,24,Marvin Hall left end for 7 yards (tackle by Tahir Whitehead),3.120,3.520
4,5:54,2,3,OAK 30,17,24,Ty Johnson right end for 4 yards (tackle by Trayvon Mullen),3.520,3.840
4,5:22,1,10,OAK 26,23,24,"Matthew Stafford pass complete deep left to J.D. McKissic for 26 yards, touchdown",3.840,7.000
4,5:16,,,OAK 15,24,24,Matt Prater kicks extra point good,0.000,0.000
4,5:16,,,DET 35,24,24,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
4,5:16,1,10,OAK 25,24,24,Derek Carr pass complete deep left to Jalen Richard for 31 yards (tackle by Darius Slay and Christian Jones),0.610,2.650
4,4:31,1,10,DET 44,24,24,Jalen Richard up the middle for 7 yards (tackle by Devon Kennard),2.650,3.060
4,3:50,2,3,DET 37,24,24,Jalen Richard up the middle for 5 yards (tackle by Jarrad Davis),3.060,3.450
4,3:07,1,10,DET 32,24,24,Derek Carr pass complete short middle to Jalen Richard for 23 yards (tackle by Will Harris),3.450,5.140
4,2:19,1,9,DET 9,24,24,Josh Jacobs left guard for no gain (tackle by Jarrad Davis),5.140,4.380
4,2:14,,,,,,Timeout #1 by Detroit Lions,,
4,2:14,2,9,DET 9,24,24,Derek Carr pass incomplete short right intended for Josh Jacobs,4.380,3.360
4,2:10,,,,,,Timeout #1 by Oakland Raiders,,
4,2:10,3,9,DET 9,24,30,"Derek Carr pass complete short right to Hunter Renfrow for 9 yards, touchdown",3.360,7.000
4,2:04,,,DET 15,24,31,Daniel Carlson kicks extra point good,0.000,0.000
4,2:04,,,OAK 35,24,31,"Daniel Carlson kicks off 65 yards, returned by Jamal Agnew for 23 yards (tackle by Erik Harris)",0.000,0.480
4,1:58,1,10,DET 23,24,31,Matthew Stafford pass complete short right to Marvin Jones for 7 yards (tackle by Trayvon Mullen),0.480,0.880
4,1:52,2,3,DET 30,24,31,Matthew Stafford pass complete short middle to J.D. McKissic for 7 yards (tackle by Tahir Whitehead and Lamarcus Joyner),0.880,1.400
4,1:32,1,10,DET 37,24,31,"Matthew Stafford pass incomplete short right intended for Marvin Jones (defended by Benson Mayowa). Penalty on Lamarcus Joyner: Defensive Holding, 5 yards (no play)",1.400,1.730
4,1:28,1,10,DET 42,24,31,Matthew Stafford pass incomplete deep middle intended for Kenny Golladay,1.730,1.190
4,1:22,2,10,DET 42,24,31,Matthew Stafford pass incomplete deep middle intended for T.J. Hockenson (defended by Erik Harris),1.190,0.500
4,1:17,3,10,DET 42,24,31,Matthew Stafford pass complete deep middle to Kenny Golladay for 24 yards (tackle by Erik Harris),0.500,3.310
4,0:54,1,10,OAK 34,24,31,"Matthew Stafford pass incomplete deep left intended for Kenny Golladay. Penalty on Arden Key: Roughing the Passer (Declined) . Penalty on Nevin Lawson: Defensive Pass Interference, 26 yards (no play)",3.310,5.370
4,0:50,1,8,OAK 8,24,31,Matthew Stafford up the middle for 4 yards (tackle by Benson Mayowa and Nicholas Morrow),5.370,5.340
4,0:30,,,,,,Timeout #2 by Detroit Lions,,
4,0:30,2,4,OAK 4,24,31,Matthew Stafford sacked by P.J. Hall for -10 yards,5.340,3.000
4,0:25,,,,,,Timeout #3 by Detroit Lions,,
4,0:25,3,14,OAK 14,24,31,Matthew Stafford pass complete short middle to Logan Thomas for 13 yards (tackle by Nicholas Morrow),3.000,3.550
4,0:08,,,,,,Timeout #2 by Oakland Raiders,,
4,0:08,4,1,OAK 1,24,31,Matthew Stafford pass incomplete short left intended for Logan Thomas (defended by Karl Joseph),3.550,0.380
4,0:03,1,10,OAK 1,24,31,Derek Carr pass incomplete deep right,-0.380,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
