Quarter,Time,Tm,Detail,DET,OAK
1.0,6:32,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),0,7
,2:34,Lions,Marvin Jones 2 yard pass from Matthew Stafford (Matt Prater kick),7,7
2.0,13:31,Raiders,Daniel Carlson 32 yard field goal,7,10
,11:21,Lions,Kenny Golladay 59 yard pass from Matthew Stafford (Matt Prater kick),14,10
,1:12,Raiders,Josh Jacobs 3 yard rush (Daniel Carlson kick),14,17
3.0,4:45,Lions,Matt Prater 23 yard field goal,17,17
4.0,14:52,Raiders,Foster Moreau 3 yard pass from Derek Carr (Daniel Carlson kick),17,24
,5:16,Lions,J.D. McKissic 26 yard pass from Matthew Stafford (Matt Prater kick),24,24
,2:04,Raiders,Hunter Renfrow 9 yard pass from Derek Carr (Daniel Carlson kick),24,31
