Unnamed: 0,DET,OAK
First Downs,26,25
Rush-Yds-TDs,19-90-0,36-171-2
Cmp-Att-Yd-TD-INT,26-41-406-3-1,20-31-289-2-0
Sacked-Yards,2-23,1-10
Net Pass Yards,383,279
Total Yards,473,450
Fumbles-Lost,1-1,3-0
Turnovers,2,0
Penalties-Yards,5-35,10-96
Third Down Conv.,5-11,7-13
Fourth Down Conv.,1-2,1-2
Time of Possession,27:10,32:50
