Quarter,Time,Down,ToGo,Location,LAR,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,"Mason Rudolph pass incomplete short middle intended for Nick Vannett. Penalty on Troy Reeder: Unnecessary Roughness, 15 yards (no play)",0.610,1.600
1,14:57,1,10,PIT 40,0,0,Mason Rudolph pass incomplete deep left intended for Vance McDonald,1.600,1.050
1,14:53,2,10,PIT 40,6,0,"Maurkice Pouncey aborted snap, recovered by Dante Fowler at PIT-26 and returned for 26 yards, touchdown",1.050,-7.000
1,14:46,,,PIT 15,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,14:46,,,LAR 35,7,0,"Greg Zuerlein kicks off 62 yards, returned by Ryan Switzer for 20 yards (tackle by Nickell Robey-Coleman and Ogbonnia Okoronkwo)",0.000,0.480
1,14:40,1,10,PIT 23,7,0,Jaylen Samuels right guard for 3 yards (tackle by Taylor Rapp and Aaron Donald),0.480,0.340
1,14:00,2,7,PIT 26,7,0,Tony Brooks-James right tackle for -2 yards (tackle by Cory Littleton),0.340,-0.630
1,13:21,3,9,PIT 24,7,0,Mason Rudolph pass incomplete short left intended for JuJu Smith-Schuster,-0.630,-1.770
1,13:16,4,9,PIT 24,7,0,"Jordan Berry punts 58 yards, returned by Jojo Natson for -2 yards (tackle by Johnny Holton)",-1.770,0.140
1,13:08,1,10,LAR 16,7,0,Todd Gurley right guard for 3 yards (tackle by Devin Bush and Mike Hilton),-0.140,-0.180
1,12:21,,,,,,Timeout #1 by Los Angeles Rams,,
1,12:21,2,7,LAR 19,7,0,Jared Goff pass complete short right to Tyler Higbee for 12 yards (tackle by Mark Barron),-0.180,1.000
1,11:49,1,10,LAR 31,7,0,Jared Goff fumbles out of bounds,1.000,-0.760
1,11:34,2,19,LAR 22,7,0,Jared Goff pass incomplete short left intended for Todd Gurley,-0.760,-1.420
1,11:30,3,19,LAR 22,7,0,Todd Gurley left tackle for 4 yards (tackle by Bud Dupree and Cameron Sutton),-1.420,-1.630
1,10:54,4,15,LAR 26,7,0,"Johnny Hekker punts 50 yards, returned by Diontae Johnson for 8 yards (tackle by Troy Reeder)",-1.630,-1.070
1,10:44,1,10,PIT 32,7,0,Mason Rudolph pass complete short middle to Jaylen Samuels for 3 yards (tackle by Cory Littleton),1.070,0.930
1,10:10,2,7,PIT 35,7,0,Jaylen Samuels up the middle for 4 yards (tackle by Cory Littleton and Marqui Christian),0.930,0.760
1,9:35,3,3,PIT 39,7,0,Mason Rudolph pass complete short middle to Diontae Johnson for 13 yards (tackle by Troy Hill),0.760,2.390
1,8:50,1,10,LAR 48,7,0,Jaylen Samuels left tackle for -4 yards (tackle by Samson Ebukam and Taylor Rapp),2.390,1.310
1,8:11,2,14,PIT 48,7,0,Mason Rudolph pass incomplete short middle,1.310,0.630
1,8:07,3,14,PIT 48,7,0,Mason Rudolph pass complete short left to Trey Edmunds for 8 yards (tackle by Eric Weddle and Taylor Rapp),0.630,0.330
1,7:33,4,6,LAR 44,7,0,"Jordan Berry punts 28 yards, fair catch by Jojo Natson at LA-16",0.330,0.140
1,7:26,1,10,LAR 16,7,0,Todd Gurley up the middle for 9 yards (tackle by Minkah Fitzpatrick and Bud Dupree),-0.140,0.690
1,6:52,2,1,LAR 25,7,0,Todd Gurley left guard for 13 yards (tackle by Minkah Fitzpatrick),0.690,1.470
1,6:18,1,10,LAR 38,7,0,Darrell Henderson right end for no gain (tackle by Vince Williams),1.470,0.920
1,5:37,2,10,LAR 38,7,0,Todd Gurley right guard for 4 yards (tackle by T.J. Watt),0.920,0.760
1,5:00,3,6,LAR 42,7,0,Jared Goff pass incomplete short middle intended for Gerald Everett,0.760,-0.590
1,4:54,4,6,LAR 42,7,0,"Johnny Hekker punts 40 yards, fair catch by Ryan Switzer at PIT-18",-0.590,-0.040
1,4:48,1,10,PIT 18,7,0,Mason Rudolph pass complete deep right to JuJu Smith-Schuster for 20 yards. Penalty on Dante Fowler: Defensive Offside (Declined),0.040,1.470
1,4:21,1,10,PIT 38,7,0,Mason Rudolph pass incomplete deep middle intended for Diontae Johnson,1.470,0.920
1,4:16,2,10,PIT 38,7,0,Tony Brooks-James left tackle for 3 yards (tackle by Cory Littleton and Eric Weddle),0.920,0.630
1,3:39,3,7,PIT 41,7,0,Mason Rudolph pass complete deep left to Diontae Johnson for 30 yards (tackle by Eric Weddle),0.630,3.640
1,3:21,1,10,LAR 29,7,0,"Trey Edmunds right guard for -1 yards (tackle by Marqui Christian). Penalty on Chukwuma Okorafor: Offensive Holding, 10 yards (no play)",3.640,2.980
1,2:56,1,20,LAR 39,7,0,Mason Rudolph pass incomplete short right intended for JuJu Smith-Schuster,2.980,1.750
1,2:53,2,20,LAR 39,7,0,"Mason Rudolph pass deep middle is intercepted by Nickell Robey-Coleman at LA-18 and returned for 14 yards. Penalty on Jalen Ramsey: Defensive Pass Interference, 19 yards. Penalty on Eric Weddle: Defensive Holding (Declined) (no play)",1.750,4.240
1,2:39,,,,,,Timeout #2 by Los Angeles Rams,,
1,2:39,1,10,LAR 20,7,0,Tony Brooks-James left tackle for 2 yards (tackle by Clay Matthews),4.240,3.960
1,2:07,2,8,LAR 18,7,0,Mason Rudolph pass complete short middle to James Washington for 13 yards (tackle by Troy Hill and Eric Weddle),3.960,6.060
1,1:21,1,5,LAR 5,7,0,Jaylen Samuels left guard for 2 yards (tackle by Clay Matthews),6.060,5.530
1,0:40,2,3,LAR 3,7,6,"Mason Rudolph pass complete short left to James Washington for 3 yards, touchdown",5.530,7.000
1,0:34,,,LAR 15,7,7,Chris Boswell kicks extra point good,0.000,0.000
1,0:34,,,PIT 35,7,7,"Chris Boswell kicks off 61 yards, returned by Jojo Natson for 19 yards (tackle by Robert Spillane)",0.000,0.480
1,0:28,1,10,LAR 23,7,7,Jared Goff pass incomplete short left intended for Robert Woods (defended by Cameron Heyward),0.480,-0.070
1,0:25,2,10,LAR 23,7,7,Darrell Henderson up the middle for 2 yards (tackle by T.J. Watt),-0.070,-0.490
Quarter,Time,Down,ToGo,Location,LAR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,LAR 25,7,7,Jared Goff sacked by Cameron Heyward for -10 yards,-0.490,-2.440
2,14:33,4,18,LAR 15,7,7,"Johnny Hekker punts 56 yards, returned by Diontae Johnson for no gain (tackle by Johnny Mundt). Diontae Johnson fumbles (forced by Johnny Mundt), recovered by Vince Williams at PIT-29 (tackle by Mike Thomas). Penalty on Vince Williams: Unnecessary Roughness, 15 yards",-2.440,0.280
2,14:16,1,10,PIT 14,7,7,Jaylen Samuels up the middle for 3 yards (tackle by Michael Brockers and Aaron Donald),-0.280,-0.370
2,13:39,2,7,PIT 17,7,7,Jaylen Samuels left tackle for 8 yards (tackle by Jalen Ramsey),-0.370,0.610
2,13:08,1,10,PIT 25,7,7,Trey Edmunds left tackle for 2 yards (tackle by Taylor Rapp),0.610,0.330
2,12:32,2,8,PIT 27,7,7,Trey Edmunds left guard for 3 yards (tackle by Troy Hill),0.330,0.040
2,11:47,3,5,PIT 30,7,7,Mason Rudolph pass complete short middle to Diontae Johnson for 13 yards (tackle by Eric Weddle),0.040,1.800
2,11:10,1,10,PIT 43,7,7,Mason Rudolph pass incomplete deep left intended for Vance McDonald (defended by Troy Hill),1.800,1.250
2,11:04,2,10,PIT 43,7,7,Mason Rudolph pass complete short right to Diontae Johnson for 8 yards (tackle by Taylor Rapp),1.250,1.620
2,10:24,3,2,LAR 49,7,7,Mason Rudolph sacked by Morgan Fox for -1 yards,1.620,-0.060
