Unnamed: 0,LAR,PIT
First Downs,16,15
Rush-Yds-TDs,23-88-0,27-42-0
Cmp-Att-Yd-TD-INT,22-42-243-0-3,22-38-242-1-0
Sacked-Yards,4-25,3-11
Net Pass Yards,218,231
Total Yards,306,273
Fumbles-Lost,4-1,4-2
Turnovers,4,2
Penalties-Yards,10-95,13-107
Third Down Conv.,1-14,5-16
Fourth Down Conv.,0-2,1-1
Time of Possession,28:20,31:40
