Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,LAR,12,73,0,2,50,4.2,23,1.9,0,
Malcolm Brown,LAR,5,10,0,1,3,0.6,7,1.4,0,
Darrell Henderson,LAR,4,4,0,,4,1.0,0,0.0,0,
Blake Bortles,LAR,1,1,0,,1,1.0,0,0.0,0,
Jared Goff,LAR,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jaylen Samuels,PIT,14,29,0,2,14,1.0,15,1.1,0,
Tony Brooks-James,PIT,6,11,0,,-7,-1.2,18,3.0,2,3.0
Trey Edmunds,PIT,4,1,0,0,1,0.3,0,0.0,0,
Mason Rudolph,PIT,2,-1,0,0,-1,-0.5,0,0.0,0,
Vance McDonald,PIT,1,2,0,,0,0.0,2,2.0,0,
