Quarter,Time,Tm,Detail,PHI,GNB
1.0,13:10,Packers,Tracy White fumble recovery in end zone (Mason Crosby kick),0,7
,9:35,Packers,Mason Crosby 53 yard field goal,0,10
2.0,13:30,Eagles,David Akers 33 yard field goal,3,10
,6:00,Eagles,Jason Avant 9 yard pass from Donovan McNabb (David Akers kick),10,10
3.0,8:15,Eagles,David Akers 47 yard field goal,13,10
,0:45,Packers,Mason Crosby 37 yard field goal,13,13
4.0,0:02,Packers,Mason Crosby 42 yard field goal,13,16
