Unnamed: 0,PHI,GNB
First Downs,13,10
Rush-Yds-TDs,29-103-0,17-46-0
Cmp-Att-Yd-TD-INT,15-33-184-1-1,23-42-206-0-1
Sacked-Yards,1-4,4-37
Net Pass Yards,180,169
Total Yards,283,215
Fumbles-Lost,2-2,1-1
Turnovers,3,2
Penalties-Yards,8-76,6-35
Third Down Conv.,8-18,6-18
Fourth Down Conv.,0-0,0-0
Time of Possession,31:48,28:12
