Quarter,Time,Tm,Detail,MIA,TEN
1,11:09,Dolphins,Dan Carpenter 23 yard field goal,3,0
,6:35,Titans,Justin Gage 22 yard pass from Vince Young (Rob Bironas kick),3,7
2,9:26,Titans,Rob Bironas 24 yard field goal,3,10
,3:20,Dolphins,Dan Carpenter 28 yard field goal,6,10
,1:47,Titans,Justin Gage 21 yard pass from Vince Young (Rob Bironas kick),6,17
3,8:58,Titans,Nate Washington 32 yard pass from Vince Young (Rob Bironas kick),6,24
,5:33,Dolphins,Dan Carpenter 45 yard field goal,9,24
4,7:41,Dolphins,Ricky Williams 1 yard rush (Dan Carpenter kick),16,24
,1:34,Dolphins,Anthony Fasano 2 yard pass from Chad Henne (Ricky Williams run),24,24
OT,11:18,Titans,Rob Bironas 46 yard field goal,24,27
