Unnamed: 0,MIA,TEN
First Downs,23,19
Rush-Yds-TDs,30-121-1,31-128-0
Cmp-Att-Yd-TD-INT,29-46-349-1-3,14-27-236-3-1
Sacked-Yards,1-2,2-0
Net Pass Yards,347,236
Total Yards,468,364
Fumbles-Lost,2-1,2-1
Turnovers,4,2
Penalties-Yards,8-60,4-46
Third Down Conv.,6-15,6-13
Fourth Down Conv.,2-2,0-0
Time of Possession,34:23,29:19
