Quarter,Time,Tm,Detail,CIN,HOU
1.0,10:54,Texans,Kris Brown 23 yard field goal,0,3
,5:34,Bengals,Neil Rackers 25 yard field goal,3,3
,0:00,Bengals,Artrell Hawkins 102 yard interception return (Neil Rackers kick),10,3
2.0,5:51,Bengals,Michael Westbrook 26 yard pass from Jon Kitna (Neil Rackers kick),17,3
,0:42,Bengals,Peter Warrick 33 yard pass from Jon Kitna (Neil Rackers kick),24,3
4.0,11:28,Bengals,Michael Westbrook 12 yard pass from Jon Kitna (Neil Rackers kick),31,3
,6:01,Bengals,Chad Johnson 10 yard pass from Jon Kitna (Neil Rackers kick),38,3
