Unnamed: 0,WAS,GNB
First Downs,19,19
Rush-Yds-TDs,34-146-0,25-88-3
Cmp-Att-Yd-TD-INT,10-24-135-0-0,20-29-167-0-0
Sacked-Yards,6-43,1-12
Net Pass Yards,92,155
Total Yards,238,243
Fumbles-Lost,6-4,2-1
Turnovers,4,1
Penalties-Yards,11-129,11-95
Third Down Conv.,3-10,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,30:59,29:01
