Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
1,4:28,,,GNB 30,3,7,"Ryan Longwell kicks off 67 yards, returned by Ladell Betts for 25 yards (tackle by Torrance Marshall). Penalty on Zeron Flemister: Offensive Holding, 10 yards",0.000,-0.280
1,4:15,1,10,WAS 14,3,7,Jacquez Green right end for 8 yards (tackle by Aaron Kampman),-0.280,0.420
1,3:37,2,2,WAS 22,3,7,Stephen Davis left guard for 3 yards (tackle by Nate Wayne),0.420,0.610
1,3:00,1,10,WAS 25,3,7,"Penalty on Bryan Johnson: False Start, 5 yards (no play)",0.610,0.280
1,2:44,1,15,WAS 20,3,7,Stephen Davis left guard for 5 yards (tackle by Aaron Kampman),0.280,0.060
1,2:08,2,10,WAS 25,3,7,"Patrick Ramsey pass incomplete intended for Derrius Thompson (defended by Tod McBride). Penalty on Na'il Diggs: Roughing the Passer, 15 yards (no play)",0.060,1.600
1,2:04,1,10,WAS 40,3,7,Stephen Davis right end for 9 yards (tackle by Aaron Kampman and Marques Anderson),1.600,2.270
1,1:25,2,1,WAS 49,3,7,Stephen Davis left tackle for 1 yard (tackle by Nate Wayne and Marques Anderson),2.270,2.260
1,0:38,1,10,GNB 50,3,7,Patrick Ramsey pass incomplete intended for Kevin Lockett,2.260,1.710
1,0:33,2,10,GNB 50,3,7,"Patrick Ramsey for no gain. Patrick Ramsey fumbles, recovered by Na'il Diggs at WAS-49 (tackle by Stephen Davis)",1.710,-2.320
1,0:28,1,10,WAS 49,3,7,Brett Favre pass complete to Terry Glenn for 15 yards (tackle by Champ Bailey),2.320,3.310
Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 34,3,7,Brett Favre pass complete to William Henderson for 11 yards (tackle by David Terrell),3.310,4.040
2,14:36,1,10,WAS 23,3,7,Brett Favre pass incomplete intended for Donald Driver (defended by Daryl Gardener),4.040,3.500
2,14:32,2,10,WAS 23,3,7,"Ahman Green left end for 3 yards (tackle by Daryl Gardener). Penalty on Javon Walker: Illegal Shift, 5 yards (no play)",3.500,2.820
2,14:16,2,15,WAS 28,3,7,Ahman Green middle for 3 yards (tackle by Bruce Smith),2.820,2.540
2,13:31,3,12,WAS 25,3,7,Brett Favre pass incomplete intended for Terry Glenn,2.540,1.800
2,13:27,4,12,WAS 25,3,7,Doug Pederson pass incomplete. Penalty on Rob Davis: Ineligible Downfield Pass (Declined),1.800,-0.610
2,13:20,1,10,WAS 25,3,7,Patrick Ramsey pass complete to Derrius Thompson for 9 yards (tackle by Na'il Diggs),0.610,1.280
2,12:53,2,1,WAS 34,3,7,Stephen Davis left tackle for no gain (tackle by Gilbert Brown),1.280,0.560
2,12:20,3,1,WAS 34,3,7,Stephen Davis left guard for 1 yard (tackle by Nate Wayne and Na'il Diggs),0.560,1.270
2,11:52,1,10,WAS 35,3,7,Patrick Ramsey pass incomplete intended for Bryan Johnson (defended by Marques Anderson),1.270,0.720
2,11:48,2,10,WAS 35,3,7,Stephen Davis right guard for 3 yards (tackle by Nate Wayne and Tod McBride),0.720,0.430
2,11:02,3,7,WAS 38,3,7,"Patrick Ramsey pass incomplete intended for Derrius Thompson (defended by Marques Anderson). Penalty on Marques Anderson: Roughing the Passer, 15 yards (no play)",0.430,2.460
2,10:57,1,10,GNB 47,3,7,Kenny Watson left tackle for 1 yard (tackle by Hardy Nickerson and Nate Wayne),2.460,2.050
2,10:21,1,10,GNB 47,,,Timeout #1 by Washington Redskins,2.460,2.050
2,10:21,2,9,GNB 46,3,7,"Patrick Ramsey pass incomplete intended for Derrius Thompson is intercepted by Matt Bowen at GNB-12 and returned for 32 yards. Penalty on Tod McBride: Illegal Contact, 5 yards (no play)",2.050,2.850
2,10:10,1,10,GNB 41,3,7,Stephen Davis left tackle for no gain (tackle by Kabeer Gbaja-Biamila),2.850,2.310
2,9:29,1,10,GNB 41,,,Timeout #2 by Washington Redskins,2.850,2.310
2,9:29,2,10,GNB 41,3,7,Patrick Ramsey pass complete to Rod Gardner for 6 yards (tackle by Tod McBride),2.310,2.410
2,8:54,3,4,GNB 35,3,7,"Penalty on Kabeer Gbaja-Biamila: Neutral Zone Infraction, 5 yards (no play)",2.410,3.580
2,8:38,1,10,GNB 30,3,7,Patrick Ramsey sacked by Kabeer Gbaja-Biamila for -5 yards,3.580,2.360
2,8:12,1,10,GNB 30,,,Timeout #3 by Washington Redskins,3.580,2.360
2,8:12,2,15,GNB 35,3,7,Patrick Ramsey pass incomplete intended for Chris Doering,2.360,1.680
2,8:07,3,15,GNB 35,3,7,Patrick Ramsey pass incomplete intended for Chris Doering,1.680,0.970
2,8:02,4,15,GNB 35,6,7,James Tuthill 53 yard field goal good,0.970,3.000
2,8:02,,,WAS 30,6,7,"James Tuthill kicks off 59 yards, returned by Javon Walker for 26 yards (tackle by Kenny Watson). Penalty on Todd Franz: Offensive Holding, 10 yards",0.000,0.740
2,7:52,1,10,GNB 27,6,7,Ahman Green left end for 11 yards (tackle by Jeremiah Trotter),0.740,1.470
2,7:15,1,10,GNB 38,6,7,Brett Favre pass complete to Donald Driver for 11 yards (tackle by Jeremiah Trotter and LaVar Arrington),1.470,2.190
2,6:43,1,10,GNB 49,6,7,Brett Favre pass complete to William Henderson for 6 yards (tackle by Ifeanyi Ohalete),2.190,2.460
2,6:05,2,4,WAS 45,6,7,Ahman Green right end for 2 yards (tackle by LaVar Arrington),2.460,2.010
2,5:25,3,2,WAS 43,6,7,"Brett Favre pass incomplete intended for Donald Driver (defended by Fred Smoot). Penalty on Champ Bailey: Defensive Pass Interference, 36 yards, Penalty on Champ Bailey: Face Mask (15 Yards), 4 yards, Penalty on Darrell Green: Defensive Holding (Declined) (no play)",2.010,6.510
2,5:17,1,3,WAS 3,6,7,"Brett Favre pass incomplete intended for Bubba Franks. Penalty on LaDairis Jackson: Defensive Offside, 1 yards (no play)",6.510,6.740
2,5:12,1,2,WAS 2,6,13,"Ahman Green middle for 2 yards, touchdown",6.740,7.000
2,5:12,,,WAS 2,6,14,Ryan Longwell kicks extra point good,0.000,0.000
2,5:12,,,GNB 30,6,14,"Ryan Longwell kicks off 59 yards, returned by Ladell Betts for 35 yards (tackle by Bryant Westbrook)",0.000,1.990
2,5:03,1,10,WAS 46,6,14,Patrick Ramsey pass complete to Derrius Thompson for 7 yards (tackle by Nate Wayne),1.990,2.400
2,4:16,2,3,GNB 47,6,14,Stephen Davis left end for 2 yards (tackle by Kabeer Gbaja-Biamila),2.400,1.950
2,3:38,3,1,GNB 45,6,14,Patrick Ramsey pass incomplete intended for Rod Gardner,1.950,0.270
2,3:31,3,1,GNB 45,,,Timeout #1 by Green Bay Packers,1.950,0.270
2,3:31,4,1,GNB 45,6,14,Patrick Ramsey middle for no gain (tackle by Gilbert Brown and Kabeer Gbaja-Biamila),0.270,-1.930
2,3:26,1,10,GNB 45,6,14,Ahman Green right guard for 10 yards (tackle by Champ Bailey),1.930,2.590
2,2:45,1,10,WAS 45,6,14,"Brett Favre pass incomplete intended for Robert Ferguson. Penalty on Darrell Green: Defensive Pass Interference, 23 yards (no play)",2.590,4.110
2,2:40,1,10,WAS 22,6,14,"Brett Favre pass incomplete intended for Donald Driver. Penalty on Donald Driver: Offensive Pass Interference, 10 yards (no play)",4.110,3.450
2,2:35,1,20,WAS 32,6,14,"Brett Favre pass incomplete intended for Javon Walker. Penalty on LaDairis Jackson: Defensive Offside, 5 yards (no play)",3.450,3.780
2,2:30,1,15,WAS 27,6,14,Brett Favre pass incomplete intended for Donald Driver (defended by Fred Smoot),3.780,2.890
2,2:23,2,15,WAS 27,6,14,Ahman Green right tackle for 4 yards (tackle by LaVar Arrington),2.890,2.740
2,2:00,3,11,WAS 23,6,14,Brett Favre pass complete to David Martin for 5 yards (tackle by Champ Bailey),2.740,2.270
2,1:23,4,6,WAS 18,6,17,Ryan Longwell 36 yard field goal good,2.270,3.000
2,1:23,,,GNB 30,6,17,"Ryan Longwell kicks off 54 yards, returned by Ladell Betts for 1 yard (tackle by Tony Fisher)",0.000,-0.060
2,1:19,1,10,WAS 17,6,17,Stephen Davis right guard for 2 yards (tackle by Marques Anderson),-0.060,-0.250
2,1:10,1,10,WAS 17,,,Timeout #2 by Green Bay Packers,-0.060,-0.250
2,1:10,2,8,WAS 19,6,17,Stephen Davis left end for 5 yards (tackle by Marques Anderson and Jamal Reynolds),-0.250,-0.370
2,1:03,2,8,WAS 19,,,Timeout #3 by Green Bay Packers,-0.250,-0.370
2,1:03,3,3,WAS 24,6,17,Derrius Thompson right end for 8 yards (tackle by Tod McBride and Nate Wayne),-0.370,1.070
2,0:31,1,10,WAS 32,6,17,Patrick Ramsey pass incomplete intended for Rod Gardner,1.070,0.530
2,0:27,2,10,WAS 32,6,17,Stephen Davis left end for -2 yards (tackle by Kabeer Gbaja-Biamila),0.530,-0.430
Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,6,17,"James Tuthill kicks off 65 yards, returned by Tony Carter for 25 yards (tackle by Eddie Mason)",0.000,0.940
3,14:54,1,10,GNB 30,6,17,Ahman Green right end for no gain (tackle by Jeremiah Trotter),0.940,0.390
3,14:16,2,10,GNB 30,6,17,Brett Favre pass complete to David Martin for 5 yards (tackle by Jessie Armstead),0.390,0.370
3,13:26,3,5,GNB 35,6,17,"Brett Favre pass complete to Ahman Green for 8 yards (tackle by LaVar Arrington). Ahman Green fumbles (forced by LaVar Arrington), recovered by David Terrell at WAS-47 (tackle by Javon Walker)",0.370,-2.060
3,13:26,1,10,WAS 47,6,17,Patrick Ramsey pass complete to Derrius Thompson for 47 yards (tackle by Matt Bowen),2.060,5.830
3,13:00,1,6,GNB 6,6,17,"Patrick Ramsey sacked by Cletidus Hunt for -6 yards. Patrick Ramsey fumbles, recovered by Patrick Ramsey at GNB-12",5.830,3.860
3,12:28,2,12,GNB 12,6,17,Patrick Ramsey pass incomplete intended for Ladell Betts,3.860,3.100
3,12:21,3,12,GNB 12,6,17,Patrick Ramsey pass incomplete intended for Rod Gardner,3.100,2.630
3,12:12,4,12,GNB 12,6,17,James Tuthill 30 yard field goal no good,2.630,-0.280
3,12:12,1,10,GNB 20,6,17,Brett Favre pass complete to Bubba Franks for 4 yards (tackle by Renaldo Wynn),0.280,0.270
3,11:30,2,6,GNB 24,6,17,Brett Favre sacked by LaVar Arrington for -12 yards,0.270,-2.360
3,11:09,3,18,GNB 12,6,17,Doug Pederson pass complete to Ahman Green for 5 yards (tackle by Bruce Smith),-2.360,-2.320
3,10:23,4,13,GNB 17,6,17,Josh Bidwell punts 34 yards,-2.320,-2.190
3,10:23,1,10,WAS 49,6,17,Patrick Ramsey pass complete to Derrius Thompson for 17 yards (tackle by Nate Wayne),2.190,3.310
3,9:46,1,10,GNB 34,6,17,"Stephen Davis middle for 18 yards (tackle by Tyrone Williams and Matt Bowen). Penalty on David Loverne: Offensive Holding, 10 yards (no play)",3.310,2.650
3,9:19,1,20,GNB 44,6,17,Patrick Ramsey pass complete to Rod Gardner for 16 yards (tackle by Marques Anderson),2.650,3.580
3,8:38,2,4,GNB 28,6,17,Stephen Davis right guard for 9 yards (tackle by Nate Wayne and Matt Bowen),3.580,4.310
3,7:49,1,10,GNB 19,6,17,Stephen Davis right guard for 11 yards (tackle by Tod McBride and Marques Anderson),4.310,5.370
3,7:18,1,8,GNB 8,6,17,Stephen Davis left guard for 5 yards (tackle by Nate Wayne),5.370,5.530
3,6:36,2,3,GNB 3,6,17,"Stephen Davis middle for 1 yard (tackle by Hardy Nickerson). Penalty on David Loverne: Offensive Holding, 10 yards (no play)",5.530,3.720
3,6:07,2,13,GNB 13,6,17,Patrick Ramsey pass incomplete intended for Walter Rasby,3.720,3.060
3,6:03,3,13,GNB 13,6,17,Patrick Ramsey pass incomplete intended for Zeron Flemister,3.060,2.570
3,5:55,4,13,GNB 13,9,17,James Tuthill 31 yard field goal good,2.570,3.000
3,5:55,,,WAS 30,9,17,"James Tuthill kicks off 59 yards, returned by Tony Carter for 17 yards (tackle by Andre Lott)",0.000,0.810
3,5:49,1,10,GNB 28,9,17,Ahman Green left guard for 3 yards (tackle by Jeremiah Trotter),0.810,0.670
3,5:17,2,7,GNB 31,9,17,Doug Pederson pass complete to Bubba Franks for 6 yards (tackle by Jeremiah Trotter and Carl Powell),0.670,0.760
3,4:53,3,1,GNB 37,9,17,Ahman Green middle for 3 yards (tackle by Bruce Smith),0.760,1.600
3,4:26,1,10,GNB 40,9,17,Doug Pederson pass complete to Donald Driver for 9 yards (tackle by Champ Bailey),1.600,2.270
3,4:02,2,1,GNB 49,9,17,Ahman Green left tackle for -2 yards (tackle by Jessie Armstead),2.270,1.290
3,3:23,3,3,GNB 47,9,17,Doug Pederson pass incomplete intended for Terry Glenn (defended by Ifeanyi Ohalete),1.290,-0.260
3,3:07,4,3,GNB 47,9,17,"Josh Bidwell punts 34 yards, returned by Jacquez Green for 4 yards (tackle by Paris Lenon)",-0.260,-0.480
3,3:07,1,10,WAS 23,9,17,"Derrius Thompson right end for 3 yards (tackle by Nate Wayne). Penalty on Cletidus Hunt: Unnecessary Roughness, 15 yards, Penalty on Rod Walker: Unnecessary Roughness (Declined)",0.480,1.660
3,2:48,1,10,WAS 41,9,17,Stephen Davis right tackle for 4 yards (tackle by Cletidus Hunt and Nate Wayne),1.660,1.660
3,2:02,2,6,WAS 45,9,17,"Patrick Ramsey sacked by Nate Wayne and Hardy Nickerson for -8 yards. Patrick Ramsey fumbles (forced by Nate Wayne), recovered by Nate Wayne at WAS-37 (tackle by Derrius Thompson)",1.660,-3.120
3,2:02,1,10,WAS 37,9,17,Ahman Green right end for no gain (tackle by Jessie Armstead),3.120,2.570
3,1:21,2,10,WAS 37,9,17,Doug Pederson pass incomplete intended for Terry Glenn,2.570,1.880
3,1:15,3,10,WAS 37,9,17,Doug Pederson pass incomplete intended for Terry Glenn (defended by LaVar Arrington),1.880,0.790
3,1:15,4,10,WAS 37,9,17,Penalty on Josh Bidwell: Delay of Game (Declined),0.790,0.790
3,1:03,4,10,WAS 37,9,17,Josh Bidwell punts 27 yards,0.790,0.380
3,1:03,1,10,WAS 10,9,17,Stephen Davis right end for 9 yards (tackle by Hardy Nickerson),-0.380,0.240
3,0:26,2,1,WAS 19,9,17,Stephen Davis left tackle for no gain (tackle by Cletidus Hunt and Marques Anderson),0.240,-0.370
Quarter,Time,Down,ToGo,Location,WAS,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,WAS 19,9,17,Stephen Davis right tackle for 4 yards (tackle by Nate Wayne and Marques Anderson),-0.370,0.480
4,14:21,1,10,WAS 23,9,17,"Patrick Ramsey sacked by Tyrone Williams for -6 yards. Patrick Ramsey fumbles (forced by Tyrone Williams), recovered by Wilbert Brown at WAS-19",0.480,-0.670
4,13:36,2,14,WAS 19,9,17,Derrius Thompson left end for 11 yards (tackle by Hardy Nickerson),-0.670,0.170
4,13:01,3,3,WAS 30,9,17,"Patrick Ramsey pass complete to Kevin Lockett for 9 yards (tackle by Tod McBride). Kevin Lockett fumbles (forced by Tod McBride), recovered by Todd Franz at WAS-39 (tackle by Kevin Lockett)",0.170,-2.980
4,12:52,1,10,WAS 39,9,17,Ahman Green right end for no gain (tackle by Jessie Armstead),2.980,2.440
4,12:12,2,10,WAS 39,9,17,Doug Pederson pass incomplete intended for Ahman Green,2.440,1.750
4,12:09,3,10,WAS 39,9,17,Doug Pederson pass complete to Javon Walker for 20 yards (tackle by Ifeanyi Ohalete and David Terrell),1.750,4.310
4,11:22,1,10,WAS 19,9,17,Ahman Green right tackle for 2 yards (tackle by Jessie Armstead and LaVar Arrington),4.310,4.030
4,10:40,2,8,WAS 17,9,17,Doug Pederson pass complete to Ahman Green for -1 yards (tackle by Jeremiah Trotter),4.030,3.140
4,10:40,3,9,WAS 18,9,17,"Penalty on Frank Winters: False Start, 5 yards (no play)",3.140,2.540
4,9:31,3,14,WAS 23,9,17,Doug Pederson pass incomplete intended for Javon Walker (defended by Fred Smoot),2.540,1.930
,,,,,,,"WAS challenged the ruling, and the play was upheld.",,
4,9:25,4,14,WAS 23,9,20,Ryan Longwell 41 yard field goal good,1.930,3.000
4,9:25,,,GNB 30,9,20,"Ryan Longwell kicks off 60 yards, returned by Kenny Watson for 24 yards (tackle by Paris Lenon)",0.000,1.200
4,9:15,1,10,WAS 34,9,20,Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Marques Anderson),1.200,0.660
4,9:02,2,10,WAS 34,9,20,"Patrick Ramsey sacked by Kabeer Gbaja-Biamila for -6 yards. Patrick Ramsey fumbles (forced by Kabeer Gbaja-Biamila), recovered by Rod Walker at WAS-23 (tackle by Derrius Thompson)",0.660,-4.040
,,,,,,,"WAS challenged the ruling, and the play was upheld.",,
4,9:02,1,10,WAS 23,9,20,Ahman Green right end for -1 yards (tackle by Renaldo Wynn),4.040,3.360
4,8:25,2,11,WAS 24,9,20,Doug Pederson pass complete to Donald Driver for 16 yards (tackle by Fred Smoot),3.360,5.370
4,7:53,1,8,WAS 8,9,26,"Ahman Green left end for 8 yards, touchdown",5.370,7.000
4,7:53,,,WAS 8,9,27,Ryan Longwell kicks extra point good,0.000,0.000
4,7:53,,,GNB 30,9,27,"Ryan Longwell kicks off 58 yards, returned by Kenny Watson for 15 yards (tackle by Tony Fisher)",0.000,0.740
4,7:43,1,10,WAS 27,9,27,"Stephen Davis right end for 14 yards (tackle by Hardy Nickerson and Rod Walker). Penalty on Zeron Flemister: Offensive Holding, 10 yards (no play)",0.740,-0.170
4,7:28,1,20,WAS 17,9,27,Patrick Ramsey pass complete to Chris Doering for 2 yards (tackle by Hardy Nickerson and Aaron Kampman),-0.170,-0.940
4,6:50,2,18,WAS 19,9,27,Patrick Ramsey pass incomplete intended for Chris Doering,-0.940,-1.650
4,6:45,3,18,WAS 19,9,27,Kenny Watson middle for no gain (tackle by Kabeer Gbaja-Biamila and Hardy Nickerson),-1.650,-2.140
4,5:58,4,18,WAS 19,9,27,"Bryan Barker punts 36 yards, returned by Darrien Gordon for 18 yards (tackle by Bryan Johnson)",-2.140,-3.120
4,5:58,1,10,WAS 37,9,27,Ahman Green right end for 3 yards (tackle by Sam Shade and Jeremiah Trotter),3.120,2.980
4,5:16,2,7,WAS 34,9,27,Doug Pederson pass complete to William Henderson for 11 yards (tackle by David Terrell and Jeremiah Trotter),2.980,4.040
4,4:24,1,10,WAS 23,9,27,Ahman Green right tackle for 5 yards (tackle by LaVar Arrington),4.040,4.210
4,3:50,2,5,WAS 18,9,27,Ahman Green right end for no gain (tackle by LaVar Arrington),4.210,3.490
4,3:05,3,5,WAS 18,9,27,Doug Pederson pass complete to Robert Ferguson for 8 yards (tackle by Fred Smoot),3.490,4.910
4,2:20,1,10,WAS 10,9,27,Ahman Green right end for no gain (tackle by Jeremiah Trotter and Sam Shade),4.910,4.190
4,2:00,2,10,WAS 10,9,27,Ahman Green left tackle for -4 yards (tackle by LaVar Arrington and Daryl Gardener),4.190,3.000
4,1:14,3,14,WAS 14,9,27,Doug Pederson pass complete to William Henderson for 4 yards (tackle by Jeremiah Trotter),3.000,2.760
4,0:22,4,10,WAS 10,9,30,Ryan Longwell 28 yard field goal good,2.760,3.000
4,0:22,,,GNB 30,9,30,"Ryan Longwell kicks off 58 yards, returned by Kenny Watson for 13 yards (tackle by Tony Carter)",0.000,0.610
4,0:15,1,10,WAS 25,9,30,Ladell Betts left end for -2 yards (tackle by Marques Anderson),0.610,-0.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
