Quarter,Time,Tm,Detail,SFO,ATL
1.0,9:10,49ers,Maurice Hicks 9 yard rush (Joe Nedney kick),7,0
,4:49,Falcons,Warrick Dunn 9 yard rush (Morten Andersen kick),7,7
2.0,3:48,Falcons,Ovie Mughelli 1 yard rush (Morten Andersen kick),7,14
3.0,12:08,49ers,Joe Nedney 49 yard field goal,10,14
,7:54,49ers,Joe Nedney 32 yard field goal,13,14
4.0,14:12,Falcons,Morten Andersen 33 yard field goal,13,17
,7:56,49ers,Joe Nedney 22 yard field goal,16,17
,1:10,Falcons,Morten Andersen 27 yard field goal,16,20
