Quarter,Time,Tm,Detail,SEA,DET
1.0,2:15,Lions,Marvin Jones 39 yard pass from Matthew Stafford (Matt Prater kick),0,7
2.0,14:15,Seahawks,Tyler Lockett 24 yard pass from Russell Wilson (Sebastian Janikowski kick),7,7
,12:42,Seahawks,David Moore 15 yard pass from Russell Wilson (Sebastian Janikowski kick),14,7
,2:28,Seahawks,Ed Dickson 12 yard pass from Russell Wilson (Sebastian Janikowski kick),21,7
4.0,14:23,Seahawks,Chris Carson 7 yard rush (Sebastian Janikowski kick),28,7
,10:40,Lions,Marvin Jones 19 yard pass from Matthew Stafford (Matt Prater kick),28,14
