Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
David Moore,SEA,4,4,97,1,4,81,20.3,16,4.0,20.3,0,,0,0.0,0,158.3
Doug Baldwin,SEA,3,2,26,0,1,22,11.0,4,2.0,7.7,0,,0,0.0,0,93.7
Chris Carson,SEA,2,2,19,0,1,12,6.0,7,3.5,6.0,0,,0,0.0,0,106.2
Ed Dickson,SEA,2,2,54,1,1,23,11.5,31,15.5,11.5,0,,0,0.0,0,158.3
Tyler Lockett,SEA,2,2,34,1,2,31,15.5,3,1.5,15.5,0,,0,0.0,0,158.3
Mike Davis,SEA,1,1,2,0,,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2
Nick Vannett,SEA,3,1,16,0,1,13,13.0,3,3.0,5.0,0,,0,0.0,0,52.1
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marvin Jones,DET,10,7,117,2,6,114,16.3,3,0.4,18.6,0,,0,0.0,0,148.7
Golden Tate,DET,12,7,50,0,2,22,3.1,28,4.0,4.0,1,7.0,1,8.3,1,33.3
Kerryon Johnson,DET,8,6,69,0,4,-13,-2.2,82,13.7,-0.1,1,6.0,0,0.0,0,100.5
Luke Willson,DET,4,3,21,0,1,12,4.0,9,3.0,3.8,0,,1,25.0,0,86.5
Ameer Abdullah,DET,1,1,6,0,1,3,3.0,3,3.0,3.0,0,,0,0.0,0,91.7
LeGarrette Blount,DET,1,1,23,0,1,-3,-3.0,26,26.0,-3.0,0,,0,0.0,0,118.7
Kenny Golladay,DET,1,1,12,0,1,7,7.0,5,5.0,7.0,1,1.0,0,0.0,0,116.7
Levine Toilolo,DET,1,1,12,0,1,4,4.0,8,8.0,4.0,0,,0,0.0,0,116.7
Michael Roberts,DET,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
