Unnamed: 0,SEA,DET
First Downs,20,21
Rush-Yds-TDs,42-176-1,13-34-0
Cmp-Att-Yd-TD-INT,14-17-248-3-0,27-40-310-2-1
Sacked-Yards,2-11,3-13
Net Pass Yards,237,297
Total Yards,413,331
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,7-111,4-32
Third Down Conv.,6-12,6-10
Fourth Down Conv.,1-2,0-0
Time of Possession,34:55,25:05
