Unnamed: 0,DET,MIN
First Downs,23,30
Rush-Yds-TDs,35-139-2,25-123-2
Cmp-Att-Yd-TD-INT,25-41-277-1-1,24-41-260-2-0
Sacked-Yards,0-0,1-10
Net Pass Yards,277,250
Total Yards,416,373
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,7-59,3-15
Third Down Conv.,3-16,2-9
Fourth Down Conv.,4-6,1-2
Time of Possession,34:04,25:56
