Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Todd Peterson kicks off 63 yards, returned by Brandon Bennett for 19 yards (tackle by Lee Mays)",0.000,0.670
1,14:54,1,10,CIN 26,0,0,Jon Kitna pass complete to Chad Johnson for 9 yards (tackle by Lee Flowers),0.670,1.350
1,14:19,2,1,CIN 35,0,0,Corey Dillon right tackle for 11 yards (tackle by Brent Alexander),1.350,1.990
1,13:44,1,10,CIN 46,0,0,(tackle by Lee Flowers),1.990,2.400
1,13:05,2,3,PIT 47,0,0,Jon Kitna pass complete to Matt Schobel for 12 yards (tackle by Jason Gildon),2.400,3.250
1,12:29,1,10,PIT 35,0,0,Jon Kitna pass incomplete intended for Corey Dillon,3.250,2.700
1,12:24,2,10,PIT 35,0,0,Jon Kitna pass complete to Chad Johnson for 6 yards,2.700,2.810
1,12:00,3,4,PIT 29,0,0,Jon Kitna pass incomplete intended for Peter Warrick,2.810,1.560
1,11:55,4,4,PIT 29,0,0,Neil Rackers 46 yard field goal no good,1.560,-1.400
1,11:49,1,10,PIT 37,0,0,Tommy Maddox pass complete to Hines Ward for 5 yards (tackle by Jeff Burris),1.400,1.530
1,11:16,2,5,PIT 42,0,0,Tommy Maddox pass complete to Plaxico Burress for 36 yards (tackle by Cory Hall),1.530,4.110
1,10:35,1,10,CIN 22,0,0,Jerome Bettis right tackle for 8 yards (tackle by Marquand Manuel),4.110,4.850
1,9:57,2,2,CIN 14,0,0,Jerome Bettis middle for 7 yards (tackle by Takeo Spikes and Marquand Manuel),4.850,5.600
1,9:25,1,7,CIN 7,0,0,Jerome Bettis middle for 5 yards (tackle by Tony Williams and Adrian Ross),5.600,5.720
1,8:48,2,2,CIN 2,0,0,Jerome Bettis left guard for 1 yard (tackle by Glen Steele),5.720,5.170
1,8:10,3,1,CIN 1,6,0,"Jerome Bettis left tackle for 1 yard, touchdown",5.170,7.000
1,8:10,,,CIN 1,7,0,Todd Peterson kicks extra point good,0.000,0.000
1,8:10,,,PIT 30,7,0,"Todd Peterson kicks off 53 yards, returned by Brandon Bennett for 23 yards (tackle by Deshea Townsend)",0.000,1.600
1,7:57,1,10,CIN 40,7,0,Jon Kitna pass complete to Chad Johnson for 5 yards,1.600,1.730
1,7:37,2,5,CIN 45,7,0,Corey Dillon left tackle for 1 yard (tackle by Aaron Smith),1.730,1.160
1,7:00,3,4,CIN 46,7,0,Corey Dillon right end for 3 yards (tackle by Mike Logan),1.160,-0.130
1,6:33,4,1,CIN 49,7,0,Nick Harris punts 23 yards,-0.130,-0.810
1,6:21,1,10,PIT 28,7,0,Tommy Maddox pass complete to Plaxico Burress for 32 yards (tackle by Marquand Manuel and Jeff Burris),0.810,2.920
1,5:40,1,10,CIN 40,7,0,Tommy Maddox pass complete to Hines Ward for 5 yards (tackle by Artrell Hawkins),2.920,3.050
1,5:06,2,5,CIN 35,7,0,Jerome Bettis left guard for no gain (tackle by Adrian Ross),3.050,2.340
1,4:29,3,5,CIN 35,7,0,Tommy Maddox pass incomplete intended for Plaxico Burress is intercepted by Kevin Kaesviharn at CIN-23 and returned for 17 yards,2.340,-1.600
1,4:21,1,10,CIN 40,7,0,Corey Dillon left tackle for 1 yard (tackle by Aaron Smith),1.600,1.190
1,3:43,2,9,CIN 41,7,0,"Jon Kitna pass incomplete intended for Danny Farmer is intercepted by Lee Flowers at PIT-37 and returned for 6 yards. Penalty on Lee Flowers: Taunting, 15 yards",1.190,-0.810
1,3:31,1,10,PIT 28,7,0,Jerome Bettis left end for 1 yard (tackle by Justin Smith),0.810,0.400
1,2:52,2,9,PIT 29,7,0,Tommy Maddox pass complete to Plaxico Burress for 9 yards (tackle by Artrell Hawkins),0.400,1.470
1,2:21,1,10,PIT 38,7,0,Jerome Bettis right end for -7 yards (tackle by Oliver Gibson),1.470,2.790
1,1:49,1,10,CIN 42,7,0,Jerome Bettis right guard for 7 yards (tackle by Adrian Ross),2.790,3.190
1,1:12,2,3,CIN 35,7,0,Tommy Maddox pass complete to Plaxico Burress for 12 yards (tackle by Artrell Hawkins),3.190,4.040
1,0:32,1,10,CIN 23,7,0,Amos Zereoue right end for -7 yards (tackle by Jeff Burris),4.040,2.550
Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,17,CIN 30,7,0,Tommy Maddox pass complete to Amos Zereoue for 7 yards (tackle by Takeo Spikes),2.550,2.810
2,14:22,3,10,CIN 23,7,0,Tommy Maddox pass complete to Amos Zereoue for 7 yards (tackle by Kevin Kaesviharn and Brian Simmons),2.810,2.480
2,13:38,4,3,CIN 16,10,0,Todd Peterson 34 yard field goal good,2.480,3.000
2,13:38,,,PIT 30,10,0,"Todd Peterson kicks off 50 yards, returned by Brandon Bennett for 20 yards (tackle by Hank Poteat). Penalty on Hank Poteat: Offensive Offside (Declined)",0.000,1.600
2,13:27,1,10,CIN 40,10,0,Corey Dillon right end for -2 yards (tackle by James Farrior),1.600,0.780
2,13:03,2,12,CIN 38,10,0,Jon Kitna pass incomplete intended for Corey Dillon,0.780,0.100
2,12:57,3,12,CIN 38,10,0,Jon Kitna pass complete to Chad Johnson for 18 yards (tackle by Brent Alexander and Chad Scott),0.100,2.650
2,12:14,1,10,PIT 44,10,0,Jon Kitna pass incomplete intended for Peter Warrick is intercepted by Lee Flowers at PIT-21 and returned for 25 yards,2.650,-1.990
2,12:02,1,10,PIT 46,10,0,Tommy Maddox sacked by Tony Williams for -10 yards,1.990,0.100
2,11:33,2,20,PIT 36,10,0,Amos Zereoue middle for 15 yards (tackle by Mark Roman),0.100,1.420
2,10:52,3,5,CIN 49,10,0,Tommy Maddox pass complete to Plaxico Burress for 8 yards (tackle by Kevin Kaesviharn),1.420,2.850
2,10:15,1,10,CIN 41,16,0,"Jerome Bettis left end for 41 yards, touchdown",2.850,7.000
2,10:15,,,CIN 41,17,0,Todd Peterson kicks extra point good,0.000,0.000
2,10:15,,,PIT 30,17,0,"Todd Peterson kicks off 58 yards, returned by Brandon Bennett for 20 yards (tackle by Chris Hope)",0.000,1.070
2,9:57,1,10,CIN 32,17,0,Corey Dillon right guard for 11 yards (tackle by Brent Alexander),1.070,1.800
2,9:19,1,10,CIN 43,17,0,Jon Kitna pass incomplete intended for Chad Johnson (defended by Chad Scott),1.800,1.250
2,9:14,2,10,CIN 43,17,0,Peter Warrick right end for 6 yards (tackle by Clark Haggans),1.250,1.350
