Unnamed: 0,CAR,ATL
First Downs,21,17
Rush-Yds-TDs,47-203-1,20-82-0
Cmp-Att-Yd-TD-INT,13-25-129-0-0,20-27-146-1-2
Sacked-Yards,0-0,3-15
Net Pass Yards,129,131
Total Yards,332,213
Fumbles-Lost,1-1,1-0
Turnovers,1,2
Penalties-Yards,8-76,3-15
Third Down Conv.,10-17,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,35:23,24:37
