Quarter,Time,Tm,Detail,CAR,ATL
1.0,13:30,Falcons,Younghoe Koo 46 yard field goal,0,3
,6:13,Panthers,Zane Gonzalez 29 yard field goal,3,3
2.0,13:58,Falcons,Cordarrelle Patterson 15 yard pass from Matt Ryan (Younghoe Koo kick),3,10
,9:13,Panthers,Zane Gonzalez 51 yard field goal,6,10
,0:00,Panthers,Zane Gonzalez 57 yard field goal,9,10
3.0,3:33,Panthers,Zane Gonzalez 23 yard field goal,12,10
4.0,6:30,Panthers,Chuba Hubbard 6 yard rush (Zane Gonzalez kick),19,10
,0:16,Falcons,Younghoe Koo 53 yard field goal,19,13
