Unnamed: 0,WAS,CLE
First Downs,19,19
Rush-Yds-TDs,22-103-1,37-158-2
Cmp-Att-Yd-TD-INT,21-37-224-2-3,16-23-156-2-0
Sacked-Yards,3-18,2-14
Net Pass Yards,206,142
Total Yards,309,300
Fumbles-Lost,4-2,1-0
Turnovers,5,0
Penalties-Yards,4-40,6-50
Third Down Conv.,5-11,5-14
Fourth Down Conv.,1-1,1-1
Time of Possession,26:23,33:37
