Quarter,Time,Tm,Detail,WAS,CLE
1.0,1:44,Washington,Dontrelle Inman 17 yard pass from Dwayne Haskins (Dustin Hopkins kick),7,0
2.0,10:46,Browns,Cody Parkey 42 yard field goal,7,3
,5:58,Browns,Nick Chubb 16 yard rush (Cody Parkey kick),7,10
,0:32,Browns,Kareem Hunt 9 yard pass from Baker Mayfield (Cody Parkey kick),7,17
3.0,9:05,Washington,Antonio Gibson 2 yard rush (Dustin Hopkins kick failed),13,17
,2:20,Washington,Dontrelle Inman 11 yard pass from Dwayne Haskins (Dustin Hopkins kick),20,17
4.0,11:14,Browns,Harrison Bryant 3 yard pass from Baker Mayfield (Cody Parkey kick),20,24
,8:40,Browns,Nick Chubb 20 yard rush (Cody Parkey kick),20,31
,1:10,Browns,Cody Parkey 30 yard field goal,20,34
