Unnamed: 0,ARI,SFO
First Downs,19,28
Rush-Yds-TDs,29-103-1,19-57-0
Cmp-Att-Yd-TD-INT,19-34-231-3-1,38-57-417-2-0
Sacked-Yards,2-14,5-26
Net Pass Yards,217,391
Total Yards,320,448
Fumbles-Lost,1-0,4-2
Turnovers,1,2
Penalties-Yards,8-60,11-85
Third Down Conv.,5-14,6-15
Fourth Down Conv.,1-1,1-1
Time of Possession,30:49,32:34
