Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 69 yards, returned by Devin Hester for 31 yards (tackle by Matthew Bosher). Penalty on Ovie Mughelli: Illegal Formation, 5 yards (no play)",0.000,0.000
1,15:00,,,ATL 30,0,0,"Matthew Bosher kicks off 70 yards, returned by Devin Hester for 23 yards (tackle by Jason Snelling)",0.000,0.480
1,14:50,1,10,CHI 23,0,0,Matt Forte left end for -3 yards (tackle by Sean Weatherspoon),0.480,-0.470
1,14:17,2,13,CHI 20,0,0,"Jay Cutler pass complete short right to Devin Hester for 7 yards. Devin Hester fumbles, recovered by Devin Hester at CHI-26",-0.470,-0.230
1,13:37,3,6,CHI 27,0,0,Jay Cutler pass complete deep left to Roy Williams for 23 yards (tackle by Dunta Robinson),-0.230,2.260
1,13:11,1,10,,0,0,Matt Forte left end for no gain (tackle by Sean Weatherspoon),2.260,1.710
1,12:33,2,10,,0,0,Jay Cutler pass incomplete deep right intended for Earl Bennett (defended by Brent Grimes),1.710,1.030
1,12:27,3,10,,0,0,Jay Cutler pass complete short middle to Matt Forte for 23 yards (tackle by Thomas DeCoud),1.030,3.780
1,11:41,1,10,ATL 27,0,0,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Sean Weatherspoon),3.780,3.640
1,11:03,2,7,ATL 24,0,0,Dane Sanzenbacher right end for -4 yards (tackle by Sean Weatherspoon),3.640,2.410
1,10:23,3,11,ATL 28,0,0,Jay Cutler pass complete short right to Matt Forte for 5 yards (tackle by Brent Grimes),2.410,1.950
1,10:03,4,6,ATL 23,0,3,Robbie Gould 41 yard field goal good,1.950,3.000
1,10:03,,,CHI 35,0,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,9:58,1,10,ATL 20,0,3,Michael Turner right end for 3 yards (tackle by Israel Idonije),0.280,0.140
1,9:22,2,7,ATL 23,0,3,Matt Ryan pass complete short left to Roddy White for 11 yards (tackle by Charles Tillman),0.140,1.200
1,8:55,1,10,ATL 34,0,3,Michael Turner left end for 9 yards (tackle by Brian Urlacher),1.200,1.870
1,8:22,2,1,ATL 43,0,3,"Matt Ryan pass complete short right to Roddy White for 2 yards. Penalty on D.J. Moore: Defensive Holding, 5 yards (no play)",1.870,2.130
1,8:03,1,10,ATL 48,0,3,Michael Turner left guard for no gain (tackle by Matt Toeaina and Israel Idonije),2.130,1.580
1,7:35,2,10,ATL 48,0,3,Matt Ryan pass complete short right to Harry Douglas for 7 yards (tackle by Tim Jennings),1.580,1.820
1,7:25,3,3,CHI 45,0,3,Matt Ryan pass complete short right to Tony Gonzalez for 8 yards (tackle by Chris Harris),1.820,3.120
1,7:12,1,10,CHI 37,0,3,Jason Snelling left end for 1 yard (tackle by Anthony Adams),3.120,2.710
1,6:49,2,9,CHI 36,0,3,Matt Ryan pass complete short right to Harry Douglas for 3 yards (tackle by Tim Jennings),2.710,2.410
1,6:21,3,6,CHI 33,0,3,Matt Ryan pass complete short left to Julio Jones for 3 yards (tackle by Charles Tillman),2.410,1.480
1,5:30,4,3,CHI 30,3,3,Matt Bryant 48 yard field goal good,1.480,3.000
1,5:30,,,ATL 35,3,3,"Matthew Bosher kicks off 64 yards, returned by Devin Hester for 27 yards (tackle by Ovie Mughelli). Penalty on Craig Steltz: Offensive Holding, 8 yards",0.000,-0.380
1,5:18,1,10,CHI 9,3,3,Matt Forte left guard for 3 yards (tackle by Sean Weatherspoon),-0.380,-0.560
1,4:39,2,7,CHI 12,3,3,Jay Cutler pass complete short left to Earl Bennett for 5 yards (tackle by Thomas DeCoud),-0.560,-0.480
1,4:03,3,2,CHI 17,3,3,Jay Cutler pass incomplete short right intended for Kellen Davis,-0.480,-2.320
1,3:55,4,2,CHI 17,3,3,"Adam Podlesh punts 48 yards, returned by Eric Weems for 8 yards (tackle by Brian Iwuh)",-2.320,-1.800
1,3:42,1,10,ATL 43,3,3,Matt Ryan pass complete short right to Julio Jones for 14 yards (tackle by Tim Jennings),1.800,2.720
1,3:13,1,10,CHI 43,3,3,Matt Ryan pass complete short middle to Michael Turner for 8 yards (tackle by Lance Briggs),2.720,3.260
1,2:48,2,2,CHI 35,3,3,Matt Ryan pass incomplete short right intended for Tony Gonzalez is intercepted by Brian Urlacher at CHI-29 and returned for -1 yards,3.260,-0.810
1,2:42,1,10,CHI 28,3,3,Jay Cutler sacked by John Abraham for -9 yards,0.810,-1.010
1,2:10,2,19,CHI 19,3,3,Jay Cutler pass complete deep left to Johnny Knox for 25 yards (tackle by Thomas DeCoud),-1.010,1.860
1,1:23,1,10,CHI 44,3,9,"Jay Cutler pass complete short right to Matt Forte for 56 yards, touchdown",1.860,7.000
1,1:23,,,ATL 2,3,10,Robbie Gould kicks extra point good,0.000,0.000
1,1:23,,,CHI 35,3,10,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,1:10,1,10,ATL 20,3,10,Matt Ryan pass complete deep left to Tony Gonzalez for 30 yards (tackle by Charles Tillman),0.280,2.260
1,0:30,1,10,,3,10,"Michael Turner left tackle for 8 yards (tackle by Charles Tillman). Michael Turner fumbles (forced by Charles Tillman), recovered by Julius Peppers at CHI-40 (tackle by Garrett Reynolds)",2.260,-1.600
1,0:22,1,10,CHI 40,3,10,Jay Cutler pass incomplete short right intended for Kellen Davis,1.600,1.050
1,0:17,2,10,CHI 40,3,10,Kahlil Bell right tackle for 2 yards (tackle by Jonathan Babineaux),1.050,0.630
Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,CHI 42,3,10,Jay Cutler sacked by John Abraham for -3 yards,0.630,-0.780
2,14:41,4,11,CHI 39,3,10,Adam Podlesh punts 57 yards,-0.780,0.380
2,14:27,1,10,ATL 4,3,10,Michael Turner right tackle for 1 yard (tackle by Henry Melton),-0.380,-0.710
2,13:48,2,9,ATL 5,3,10,Matt Ryan pass complete short left to Jason Snelling for 4 yards (tackle by Brian Urlacher and Julius Peppers),-0.710,-0.840
2,13:04,3,5,ATL 9,3,10,Matt Ryan sacked by Henry Melton for -8 yards,-0.840,-2.490
2,12:38,4,13,ATL 1,3,10,"Matthew Bosher punts 43 yards, muffed catch by Devin Hester, recovered by Devin Hester and returned for 14 yards (tackle by Shann Schillinger)",-2.490,-3.580
2,12:25,1,10,ATL 30,3,10,Matt Forte right guard for 5 yards (tackle by Dunta Robinson),3.580,3.710
2,11:44,2,5,ATL 25,3,10,Jay Cutler pass complete short right to Roy Williams for 4 yards (tackle by Curtis Lofton),3.710,3.530
