Unnamed: 0,SFO,STL
First Downs,16,6
Rush-Yds-TDs,32-125-3,26-87-0
Cmp-Att-Yd-TD-INT,17-28-222-1-0,11-28-80-0-0
Sacked-Yards,3-18,8-58
Net Pass Yards,204,22
Total Yards,329,109
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-40,7-50
Third Down Conv.,4-15,2-18
Fourth Down Conv.,0-1,1-2
Time of Possession,33:08,26:52
