Quarter,Time,Tm,Detail,SFO,STL
2.0,4:00,Rams,Josh Brown 54 yard field goal,0,3
3.0,7:58,49ers,Moran Norris 1 yard rush (Shane Andrus kick),7,3
4.0,9:11,Rams,Josh Brown 29 yard field goal,7,6
,7:29,49ers,Vernon Davis 73 yard pass from Alex Smith (Shane Andrus kick),14,6
,4:05,49ers,Frank Gore 3 yard rush (Shane Andrus kick),21,6
,2:16,49ers,Frank Gore 6 yard rush (Shane Andrus kick),28,6
