Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Jordan Gay kicks off 65 yards, returned by Devin Hester for 14 yards (tackle by Jonathan Meeks)",0.000,0.280
1,14:57,1,10,BAL 14,0,0,Justin Forsett right end for 6 yards (tackle by Duke Williams),-0.280,0.150
1,14:32,2,4,BAL 20,0,0,Joe Flacco pass complete short right to Justin Forsett for 5 yards (tackle by Jerry Hughes),0.150,0.610
1,14:01,1,10,BAL 25,0,0,Justin Forsett left guard for no gain (tackle by Corbin Bryant and Preston Brown),0.610,0.060
1,13:35,2,10,BAL 25,0,0,Joe Flacco pass complete short right to Kyle Juszczyk for 9 yards (tackle by Ronald Darby),0.060,0.560
1,12:54,3,1,BAL 34,0,0,Terrance West right tackle for no gain (tackle by Corbin Bryant),0.560,-1.110
1,12:05,4,1,BAL 34,0,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",-1.110,-1.440
1,11:52,4,6,BAL 29,0,0,"Sam Koch punts 39 yards, out of bounds",-1.440,-1.070
1,11:44,1,10,BUF 32,0,0,Tyrod Taylor pass complete short middle to LeSean McCoy for 2 yards (tackle by Zach Orr and Eric Weddle),1.070,0.800
1,11:02,2,8,BUF 34,0,0,LeSean McCoy right tackle for -6 yards (tackle by Shareece Wright),0.800,-0.690
1,10:15,3,14,BUF 28,0,0,Tyrod Taylor pass complete short left to Mike Gillislee for -4 yards (tackle by Shareece Wright),-0.690,-1.770
1,9:42,4,18,BUF 24,0,0,"Colton Schmidt punts 50 yards, returned by Devin Hester for 8 yards (tackle by Corey Graham)",-1.770,-1.200
1,9:33,1,10,BAL 34,0,0,Joe Flacco pass complete short right to Steve Smith for 3 yards (tackle by Ronald Darby),1.200,1.060
1,9:05,2,7,BAL 37,0,0,Joe Flacco pass complete short right to Steve Smith for 6 yards (tackle by Ronald Darby),1.060,1.160
1,8:31,3,1,BAL 43,0,0,"Penalty on Ronnie Stanley: False Start, 5 yards (no play)",1.160,0.500
1,8:07,3,6,BAL 38,0,0,"Penalty on Steve Smith: False Start, 5 yards (no play)",0.500,-0.160
1,7:45,3,11,BAL 33,0,0,Joe Flacco pass complete deep middle to Mike Wallace for 16 yards (tackle by Stephon Gilmore),-0.160,2.190
1,7:11,1,10,BAL 49,0,0,Joe Flacco pass incomplete,2.190,1.650
1,7:05,2,10,BAL 49,0,0,"Joe Flacco for no gain. Joe Flacco fumbles, recovered by Preston Brown at BAL-47 (tackle by Joe Flacco)",1.650,-2.460
1,7:00,1,10,BAL 47,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 5 yards (tackle by Zach Orr),2.460,2.590
1,6:19,2,5,BAL 42,0,0,LeSean McCoy right tackle for -1 yards (tackle by Timmy Jernigan),2.590,1.750
1,5:35,3,6,BAL 43,0,0,Tyrod Taylor pass incomplete short left intended for Charles Clay (defended by Eric Weddle),1.750,0.400
1,5:30,4,6,BAL 43,0,0,"Penalty on Garrison Sanborn: False Start, 5 yards (no play)",0.400,0.070
1,5:30,4,11,BAL 48,0,0,"Colton Schmidt punts 39 yards, out of bounds",0.070,0.380
1,5:22,1,10,BAL 9,0,0,Terrance West left guard for 2 yards (tackle by Preston Brown and Stephon Gilmore),-0.380,-0.630
1,4:54,2,8,BAL 11,0,0,Joe Flacco pass complete deep left to Breshad Perriman for 35 yards (tackle by Stephon Gilmore),-0.630,1.990
1,4:15,1,10,BAL 46,0,0,Joe Flacco pass complete short right to Crockett Gillmore for 5 yards (tackle by Preston Brown),1.990,2.130
1,3:38,2,5,BUF 49,0,0,Terrance West left guard for 6 yards (tackle by Zach Brown and Lerentee McCray),2.130,2.720
