Quarter,Time,Tm,Detail,HOU,CHI
1.0,10:04,Bears,David Montgomery 80 yard rush (Cairo Santos kick),0,7
2.0,12:57,Bears,Jimmy Graham 5 yard pass from Mitchell Trubisky (Cairo Santos kick),0,14
,8:37,Texans,Keke Coutee 5 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,14
,6:04,Bears,"Safety, Deshaun Watson sacked in end zone by Khalil Mack",7,16
,3:22,Bears,Darnell Mooney 12 yard pass from Mitchell Trubisky (Cairo Santos kick),7,23
,0:08,Bears,Allen Robinson 3 yard pass from Mitchell Trubisky (Cairo Santos kick),7,30
3.0,10:37,Bears,Cairo Santos 39 yard field goal,7,33
4.0,10:47,Bears,Cairo Santos 32 yard field goal,7,36
