Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
1,0:35,1,10,HOU 23,0,7,Mitchell Trubisky pass complete short right to Darnell Mooney for 10 yards (tackle by Eric Murray),4.040,4.710
Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 13,0,7,"Penalty on Brandon Dunn: Neutral Zone Infraction, 5 yards (no play)",4.710,5.860
2,15:00,1,5,HOU 8,0,7,Cordarrelle Patterson left tackle for 3 yards (tackle by Tyrell Adams),5.860,5.540
2,14:25,2,2,HOU 5,0,7,David Montgomery right guard for 3 yards (tackle by J.J. Watt),5.540,6.740
2,13:45,1,2,HOU 2,0,7,Cordarrelle Patterson left tackle for 1 yard (tackle by Charles Omenihu and Zach Cunningham),6.740,5.910
2,13:23,2,1,HOU 1,0,7,"Penalty on Jimmy Graham: False Start, 4 yards (no play)",5.910,5.150
2,13:01,2,5,HOU 5,0,13,"Mitchell Trubisky pass complete short left to Jimmy Graham for 5 yards, touchdown",5.150,7.000
2,12:57,,,HOU 15,0,14,Cairo Santos kicks extra point good,0.000,0.000
2,12:57,,,CHI 35,0,14,"Cairo Santos kicks off 61 yards, returned by C.J. Prosise for 10 yards (tackle by Barkevious Mingo)",0.000,-0.280
2,12:51,1,10,HOU 14,0,14,Duke Johnson left guard for 5 yards (tackle by Barkevious Mingo and Roquan Smith),-0.280,-0.040
2,12:20,2,5,HOU 19,0,14,Deshaun Watson pass complete short middle to Chad Hansen for 3 yards (tackle by Danny Trevathan),-0.040,-0.440
2,11:34,3,2,HOU 22,0,14,Deshaun Watson right end for 4 yards (tackle by Kyle Fuller),-0.440,0.670
2,10:51,1,10,HOU 26,0,14,Deshaun Watson pass incomplete short right intended for Jordan Akins (defended by Khalil Mack),0.670,0.130
2,10:44,2,10,HOU 26,0,14,Deshaun Watson right guard for 7 yards (tackle by Kyle Fuller and Danny Trevathan),0.130,0.370
2,10:01,3,3,HOU 33,0,14,Deshaun Watson pass complete short left to Duke Johnson for 48 yards (tackle by Eddie Jackson),0.370,4.310
2,9:24,1,10,CHI 19,0,14,Deshaun Watson right end for 14 yards (tackle by Eddie Jackson),4.310,6.060
2,8:44,1,5,CHI 5,6,14,"Deshaun Watson pass complete short middle to Keke Coutee for 5 yards, touchdown",6.060,7.000
2,8:37,,,CHI 15,7,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,8:37,,,HOU 35,7,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,8:37,1,10,CHI 25,7,14,Mitchell Trubisky right end for 4 yards (tackle by Zach Cunningham),0.610,0.600
2,7:57,2,6,CHI 29,7,14,Mitchell Trubisky pass complete short left to Jimmy Graham for 4 yards (tackle by Eric Murray),0.600,0.430
2,7:10,3,2,CHI 33,7,14,Mitchell Trubisky pass incomplete short right intended for Allen Robinson,0.430,-1.180
2,7:02,4,2,CHI 33,7,14,"Pat O'Donnell punts 48 yards, fair catch by Keke Coutee at HOU-19",-1.180,-0.150
2,6:55,1,10,HOU 19,7,14,Deshaun Watson sacked by Bilal Nichols for -10 yards,0.150,-1.510
2,6:07,2,20,HOU 9,7,16,"Deshaun Watson sacked by Khalil Mack for -9 yards, safety.",-1.510,-2.000
2,6:04,,,HOU 20,7,16,"Bryan Anger kicks off 62 yards, returned by Anthony Miller for 16 yards (tackle by Lonnie Johnson)",0.000,1.200
2,5:59,1,10,CHI 34,7,16,"David Montgomery right tackle for 13 yards (tackle by Vernon Hargreaves). Penalty on Justin Reid: Unnecessary Roughness, 15 yards",1.200,3.050
2,5:31,1,10,HOU 38,7,16,Mitchell Trubisky pass complete short right to Anthony Miller for 6 yards (tackle by Keion Crossen),3.050,3.320
2,4:53,2,4,HOU 32,7,16,Mitchell Trubisky pass complete short middle to Allen Robinson for 9 yards (tackle by Justin Reid),3.320,4.040
2,4:15,1,10,HOU 23,7,16,Mitchell Trubisky pass complete short left to David Montgomery for 11 yards (tackle by Zach Cunningham and Tyrell Adams),4.040,4.780
2,3:29,1,10,HOU 12,7,22,"Mitchell Trubisky pass complete short right to Darnell Mooney for 12 yards, touchdown",4.780,7.000
2,3:22,,,HOU 15,7,23,Cairo Santos kicks extra point good,0.000,0.000
2,3:22,,,CHI 35,7,23,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,3:22,1,10,HOU 25,7,23,Duke Johnson left tackle for 3 yards (tackle by Roquan Smith),0.610,0.470
2,2:56,2,7,HOU 28,7,23,"Penalty on Steven Mitchell: False Start, 5 yards (no play)",0.470,-0.210
2,2:44,2,12,HOU 23,7,23,Deshaun Watson pass complete short middle to Jordan Akins for 8 yards (tackle by Danny Trevathan),-0.210,0.170
2,2:09,3,4,HOU 31,7,23,"Deshaun Watson pass complete short left to C.J. Prosise for 3 yards (tackle by Danny Trevathan). Penalty on Laremy Tunsil: Offensive Holding, 10 yards (no play)",0.170,-1.150
2,1:59,3,14,HOU 21,7,23,Deshaun Watson pass complete short left to C.J. Prosise for 10 yards (tackle by DeAndre Houston-Carson),-1.150,-1.310
2,1:52,4,4,HOU 31,7,23,"Bryan Anger punts 46 yards, fair catch by Anthony Miller at CHI-23",-1.310,-0.480
2,1:45,1,10,CHI 23,7,23,Mitchell Trubisky pass incomplete short left intended for Allen Robinson,0.480,-0.070
2,1:42,2,10,CHI 23,7,23,"Penalty on Alex Bars: False Start, 5 yards (no play)",-0.070,-0.840
2,1:42,2,15,CHI 18,7,23,Mitchell Trubisky right end for 9 yards (tackle by Keion Crossen),-0.840,-0.230
2,1:34,3,6,CHI 27,7,23,Mitchell Trubisky pass complete short middle to Allen Robinson for 8 yards (tackle by Eric Murray),-0.230,1.270
2,1:14,1,10,CHI 35,7,23,Mitchell Trubisky pass complete deep right to Allen Robinson for 22 yards (tackle by Keion Crossen),1.270,2.720
2,1:08,,,,,,Timeout #1 by Chicago Bears,,
2,1:08,1,10,HOU 43,7,23,Mitchell Trubisky sacked by Tyrell Adams for -8 yards,2.720,1.100
2,0:58,,,,,,Timeout #1 by Houston Texans,,
2,0:58,2,18,CHI 49,7,23,Mitchell Trubisky pass complete short right to Cole Kmet for 16 yards (tackle by Tyrell Adams and Jacob Martin),1.100,2.540
2,0:42,,,,,,Timeout #2 by Chicago Bears,,
2,0:41,3,2,HOU 35,7,23,David Montgomery right guard for 11 yards (tackle by Keion Crossen),2.540,3.970
2,0:26,1,10,HOU 24,7,23,Mitchell Trubisky right end for 5 yards (tackle by Jacob Martin),3.970,4.120
2,0:19,2,5,HOU 19,7,23,Mitchell Trubisky pass complete short right to Allen Robinson for 16 yards (tackle by Keion Crossen),4.120,6.510
2,0:14,1,3,HOU 3,7,23,Mitchell Trubisky pass incomplete short right intended for Cole Kmet,6.510,5.530
2,0:11,,,,,,Timeout #2 by Houston Texans,,
2,0:11,2,3,HOU 3,7,29,"Mitchell Trubisky pass complete short middle to Allen Robinson for 3 yards, touchdown",5.530,7.000
2,0:08,,,HOU 15,7,30,Cairo Santos kicks extra point good,0.000,0.000
2,0:08,,,CHI 35,7,30,"Cairo Santos kicks off 60 yards, returned by C.J. Prosise for 20 yards (tackle by Josh Woods)",0.000,0.610
2,0:02,1,10,HOU 25,7,30,Deshaun Watson kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,7,30,"Ka'imi Fairbairn kicks off 50 yards, returned by J.P. Holtz for 8 yards (tackle by Lonnie Johnson)",0.000,0.480
3,14:54,1,10,CHI 23,7,30,Mitchell Trubisky pass complete short right to Jimmy Graham for 2 yards (tackle by Lonnie Johnson),0.480,0.200
3,14:21,2,8,CHI 25,7,30,Mitchell Trubisky pass complete short left to Cole Kmet for 11 yards (tackle by Eric Murray and Justin Reid),0.200,1.330
3,13:37,1,10,CHI 36,7,30,Mitchell Trubisky pass complete short middle to Allen Robinson for 35 yards (tackle by Eric Murray),1.330,3.640
3,12:51,1,10,HOU 29,7,30,"Cordarrelle Patterson left tackle for 14 yards (tackle by Tyrell Adams). Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",3.640,2.980
3,12:31,1,20,HOU 39,7,30,"Penalty on Alex Bars: False Start, 5 yards (no play)",2.980,2.650
3,12:12,1,25,HOU 44,7,30,Mitchell Trubisky left end for 5 yards (tackle by Lonnie Johnson),2.650,1.750
3,11:35,2,20,HOU 39,7,30,Mitchell Trubisky pass incomplete short middle intended for Cole Kmet (defended by Justin Reid),1.750,1.090
3,11:31,3,20,HOU 39,7,30,Mitchell Trubisky pass complete short right to David Montgomery for 18 yards (tackle by J.J. Watt),1.090,2.180
3,10:41,4,2,HOU 21,7,33,Cairo Santos 39 yard field goal good,2.180,3.000
3,10:37,,,CHI 35,7,33,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,10:37,1,10,HOU 25,7,33,Buddy Howell right guard for 5 yards (tackle by Danny Trevathan),0.610,0.740
3,10:15,2,5,HOU 30,7,33,Buddy Howell right guard for 6 yards (tackle by Danny Trevathan and Roquan Smith),0.740,1.330
3,9:51,1,10,HOU 36,7,33,Buddy Howell right guard for 5 yards (tackle by Danny Trevathan and Roquan Smith),1.330,1.470
3,9:16,2,5,HOU 41,7,33,Buddy Howell right guard for 1 yard (tackle by Tashaun Gipson and Akiem Hicks),1.470,0.890
3,8:31,3,4,HOU 42,7,33,Deshaun Watson pass complete short middle to Jordan Akins for 8 yards (tackle by Eddie Jackson),0.890,2.260
3,7:44,1,10,HOU 50,7,33,Deshaun Watson pass complete short right to Jordan Akins for 4 yards (tackle by Roquan Smith),2.260,2.250
3,7:12,2,6,CHI 46,7,33,Buddy Howell right guard for 4 yards (tackle by Roquan Smith and Danny Trevathan),2.250,2.080
3,6:34,3,2,CHI 42,7,33,Duke Johnson right guard for 1 yard (tackle by Brent Urban),2.080,0.530
3,6:10,4,1,CHI 41,7,33,Deshaun Watson pass complete short right to Darren Fells for 15 yards (tackle by Duke Shelley and Kyle Fuller),0.530,3.840
3,5:32,1,10,CHI 26,7,33,"Deshaun Watson left tackle for 11 yards (tackle by Roquan Smith). Penalty on Tytus Howard: Offensive Holding, 10 yards (no play)",3.840,3.180
3,5:04,1,20,CHI 36,7,33,Buddy Howell left guard for 3 yards (tackle by Roquan Smith),3.180,2.350
3,4:37,2,17,CHI 33,7,33,Deshaun Watson pass complete short middle to Steven Mitchell for 15 yards (tackle by Tashaun Gipson),2.350,3.750
3,3:51,3,2,CHI 18,7,33,Duke Johnson right guard for 3 yards (tackle by Danny Trevathan and Bilal Nichols),3.750,4.580
3,3:16,1,10,CHI 15,7,33,Deshaun Watson pass complete short middle to Steven Mitchell for 12 yards (tackle by Eddie Jackson and Danny Trevathan),4.580,6.510
3,2:37,1,3,CHI 3,7,33,Deshaun Watson pass incomplete short right intended for Jordan Akins,6.510,5.530
3,2:32,2,3,CHI 3,7,33,Deshaun Watson left guard for 2 yards (tackle by Jaylon Johnson),5.530,5.170
3,2:16,3,1,CHI 1,7,33,Deshaun Watson pass incomplete short middle,5.170,3.550
3,2:12,4,1,CHI 1,7,33,A.J. McCarron sacked by Roquan Smith for -12 yards. Penalty on Zach Fulton: Illegal Use of Hands (Declined),3.550,0.320
3,2:07,1,10,CHI 13,7,33,"Penalty on Javon Wims: False Start, 5 yards (no play)",-0.320,-0.570
3,2:06,1,15,CHI 8,7,33,Cordarrelle Patterson left end for 12 yards (tackle by Lonnie Johnson),-0.570,0.220
3,1:22,2,3,CHI 20,7,33,Mitchell Trubisky pass incomplete deep left intended for Cordarrelle Patterson (defended by Zach Cunningham),0.220,-0.590
3,1:16,3,3,CHI 20,7,33,Mitchell Trubisky pass incomplete short right intended for David Montgomery,-0.590,-2.030
3,1:12,4,3,CHI 20,7,33,Pat O'Donnell punts 28 yards out of bounds,-2.030,-2.390
3,1:05,1,10,CHI 48,7,33,Buddy Howell left tackle for 3 yards (tackle by John Jenkins),2.390,2.250
3,0:47,2,7,CHI 45,7,33,Deshaun Watson sacked by Brent Urban for no gain,2.250,1.550
3,0:14,3,7,CHI 45,7,33,Deshaun Watson pass incomplete short right,1.550,0.270
3,0:06,4,7,CHI 45,7,33,Deshaun Watson sacked by Mario Edwards for -13 yards,0.270,-2.790
Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 42,7,33,David Montgomery left tackle for no gain (tackle by Carlos Watkins),2.790,2.240
4,14:23,2,10,HOU 42,7,33,Mitchell Trubisky pass complete short middle to David Montgomery for 13 yards (tackle by Keion Crossen),2.240,3.640
4,13:39,1,10,HOU 29,7,33,Javon Wims left end for 2 yards (tackle by Zach Cunningham),3.640,3.370
4,12:56,2,8,HOU 27,7,33,Mitchell Trubisky pass complete short left to Anthony Miller for 10 yards (tackle by Eric Murray),3.370,4.440
4,12:19,1,10,HOU 17,7,33,Darnell Mooney left end for 5 yards (tackle by Keion Crossen),4.440,4.690
4,11:37,2,5,HOU 12,7,33,David Montgomery left end for -2 yards (tackle by Carlos Watkins),4.690,3.500
4,10:55,3,7,HOU 14,7,33,Mitchell Trubisky pass incomplete short right intended for Allen Robinson (defended by Keion Crossen),3.500,2.510
4,10:51,4,7,HOU 14,7,36,Cairo Santos 32 yard field goal good,2.510,3.000
4,10:47,,,CHI 35,7,36,"Cairo Santos kicks off 63 yards, returned by C.J. Prosise for 19 yards (tackle by Sherrick McManis)",0.000,0.340
4,10:42,1,10,HOU 21,7,36,Buddy Howell right guard for 2 yards (tackle by Tashaun Gipson),0.340,0.070
4,10:05,2,8,HOU 23,7,36,Deshaun Watson pass incomplete short middle intended for Steven Mitchell (defended by Duke Shelley),0.070,-0.630
4,10:02,3,8,HOU 23,7,36,Deshaun Watson sacked by Roquan Smith for -6 yards,-0.630,-2.320
4,9:16,4,14,HOU 17,7,36,"Bryan Anger punts 50 yards, returned by Anthony Miller for 4 yards (tackle by Justin Reid). Penalty on Sherrick McManis: Offensive Holding, 10 yards",-2.320,-0.740
4,9:04,1,10,CHI 27,7,36,David Montgomery left end for 3 yards (tackle by Charles Omenihu and Tyrell Adams),0.740,0.600
4,8:39,2,7,CHI 30,7,36,Mitchell Trubisky pass incomplete short right intended for Cole Kmet,0.600,-0.100
4,8:36,3,7,CHI 30,7,36,Mitchell Trubisky pass incomplete short left intended for Allen Robinson,-0.100,-1.370
4,8:32,4,7,CHI 30,7,36,"Pat O'Donnell punts 46 yards, returned by Keke Coutee for 7 yards (tackle by Sherrick McManis). Keke Coutee fumbles (forced by Sherrick McManis), recovered by Josh Woods at HOU-37",-1.370,3.120
4,8:21,1,10,HOU 37,7,36,David Montgomery right guard for 5 yards (tackle by Zach Cunningham and Keion Crossen),3.120,3.250
4,7:32,2,5,HOU 32,7,36,Cordarrelle Patterson left tackle for 9 yards (tackle by Eric Murray),3.250,4.040
4,6:50,1,10,HOU 23,7,36,Cordarrelle Patterson left end for -2 yards (tackle by Zach Cunningham),4.040,3.230
4,6:03,2,12,HOU 25,7,36,David Montgomery left tackle for 1 yard (tackle by Tyrell Adams),3.230,2.680
4,5:16,,,,,,Timeout #1 by Chicago Bears,,
4,5:16,3,11,HOU 24,7,36,Mitchell Trubisky sacked by Eric Murray for -11 yards,2.680,0.970
4,4:27,4,22,HOU 35,7,36,"Penalty on CHI: Delay of Game, 5 yards (no play)",0.970,0.590
4,4:26,4,27,HOU 40,7,36,"Pat O'Donnell punts 40 yards, touchback.",0.590,-0.280
4,4:19,1,10,HOU 20,7,36,Deshaun Watson pass complete short right to Chad Hansen for 4 yards (tackle by Eddie Jackson),0.280,0.270
4,3:49,2,6,HOU 24,7,36,Deshaun Watson pass complete short right to Buddy Howell for 3 yards (tackle by Duke Shelley),0.270,-0.030
4,3:06,3,3,HOU 27,7,36,Deshaun Watson pass complete short right to Chad Hansen for 15 yards (tackle by Kindle Vildor),-0.030,1.730
4,2:37,,,,,,Timeout #2 by Chicago Bears,,
4,2:37,1,10,HOU 42,7,36,Buddy Howell right tackle for 9 yards (tackle by Kindle Vildor),1.730,2.400
4,2:14,2,1,CHI 49,7,36,Buddy Howell right guard for 3 yards (tackle by Josh Woods),2.400,2.520
4,2:00,1,10,CHI 46,7,36,Deshaun Watson pass complete short left to Keke Coutee for 11 yards (tackle by Joel Iyiegbuniwe),2.520,3.250
4,1:29,1,10,CHI 35,7,36,Deshaun Watson pass incomplete deep left intended for Buddy Howell,3.250,2.700
4,1:21,2,10,CHI 35,7,36,Buddy Howell right guard for 1 yard (tackle by Akiem Hicks),2.700,2.150
4,0:37,3,9,CHI 34,7,36,Deshaun Watson pass complete short middle to Chad Hansen for 9 yards (tackle by Tashaun Gipson),2.150,3.910
4,0:12,1,10,CHI 25,7,36,Deshaun Watson sacked by Mario Edwards for -14 yards,3.910,1.470
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
