Unnamed: 0,HOU,CHI
First Downs,17,23
Rush-Yds-TDs,27-108-0,23-169-1
Cmp-Att-Yd-TD-INT,21-30-219-1-0,24-33-267-3-0
Sacked-Yards,7-64,3-26
Net Pass Yards,155,241
Total Yards,263,410
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,6-50,7-44
Third Down Conv.,7-14,3-10
Fourth Down Conv.,1-3,0-0
Time of Possession,30:26,29:34
