Unnamed: 0,HOU,CLE
First Downs,17,14
Rush-Yds-TDs,22-89-0,24-89-2
Cmp-Att-Yd-TD-INT,23-37-306-2-0,21-31-148-1-0
Sacked-Yards,8-41,1-7
Net Pass Yards,265,141
Total Yards,354,230
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,6-54,4-42
Third Down Conv.,8-18,3-13
Fourth Down Conv.,0-0,1-1
Time of Possession,29:40,30:20
