Quarter,Time,Tm,Detail,NYJ,BUF
1.0,9:00,Jets,Nick Folk 47 yard field goal,3,0
,3:34,Bills,Bryan Scott 20 yard interception return (Rian Lindell kick),3,7
2.0,10:54,Jets,Nick Folk 23 yard field goal,6,7
,3:49,Jets,Nick Folk 28 yard field goal,9,7
,3:21,Bills,C.J. Spiller 66 yard pass from Ryan Fitzpatrick (Rian Lindell kick),9,14
4.0,10:52,Bills,Brad Smith 4 yard rush (Rian Lindell kick),9,21
,1:10,Bills,Tashard Choice 13 yard rush (Rian Lindell kick),9,28
