Unnamed: 0,GNB,DET
First Downs,22,14
Rush-Yds-TDs,31-95-0,21-95-1
Cmp-Att-Yd-TD-INT,31-47-357-3-1,15-35-182-2-4
Sacked-Yards,1-10,1-6
Net Pass Yards,347,176
Total Yards,442,271
Fumbles-Lost,3-2,1-1
Turnovers,3,5
Penalties-Yards,12-88,4-24
Third Down Conv.,12-21,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,38:54,21:06
