Unnamed: 0,SDG,CLE
First Downs,19,23
Rush-Yds-TDs,19-34-0,29-124-2
Cmp-Att-Yd-TD-INT,23-46-322-2-1,19-28-175-0-0
Sacked-Yards,0-0,9-48
Net Pass Yards,322,127
Total Yards,356,251
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,9-92,4-44
Third Down Conv.,5-15,6-15
Fourth Down Conv.,2-2,1-1
Time of Possession,27:31,32:29
