Quarter,Time,Tm,Detail,DET,SFO
1.0,11:39,49ers,Terrell Owens 6 yard pass from Jeff Garcia (Owen Pochman kick),0,7
,4:52,49ers,Owen Pochman 48 yard field goal,0,10
2.0,12:18,49ers,Aaron Walker 14 yard pass from Jeff Garcia (Owen Pochman kick),0,17
,5:57,Lions,Jason Hanson 28 yard field goal,3,17
,2:58,Lions,Mikhael Ricks 6 yard pass from Joey Harrington (Jason Hanson kick),10,17
3.0,1:01,49ers,Jeff Garcia 1 yard rush (Owen Pochman kick),10,24
4.0,11:44,Lions,Olandis Gary 2 yard rush (Jason Hanson kick),17,24
